mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,relative_residual,residual_ok
1.0,1.0,355299.8428810823,596.0703338374443,19.697396488524614,19.739208802178716,1.0,1.0,0.9996331015547876,0.042961872545224586,0.0
2.0,2.0,2.283491273183925e6,1511.12252090422,49.93568333683685,49.34802200544679,2.0,1.0,0.5003483765686255,0.00451358517267105,0.0
3.0,3.0,2.284340568236802e6,1511.4035094033632,49.944968720728895,49.34802200544679,1.0,2.0,0.5003396107654556,0.010118615054781342,0.0
4.0,4.0,5.840705714279861e6,2416.755203631485,79.86269867712716,78.95683520871486,2.0,2.0,0.9991382233217123,0.0023389809209279806,0.0
5.0,5.0,9.574017580698391e6,3094.19094121523,102.24884937309878,98.69604401089359,1.0,3.0,0.5000726480899076,0.002715221002645512,0.0
6.0,6.0,9.577084181781419e6,3094.6864432089756,102.26522344622002,98.69604401089359,3.0,1.0,0.5000133420754016,0.001476736410357253,0.0
7.0,7.0,1.5907196575732322e7,3988.382701764253,131.79779459725302,128.30485721416164,2.0,3.0,0.49933478752088,0.0016587828846045159,0.0
8.0,8.0,1.5911059495765982e7,3988.866943853352,131.81379658205907,128.30485721416164,3.0,2.0,0.49932768517591763,0.0017129397287668552,0.0
9.0,9.0,2.960761141435149e7,5441.2876614227525,179.80965398017932,167.7832748185191,4.0,1.0,0.5005306148369854,0.0012850637154433753,0.0
10.0,10.0,2.9608578981309757e7,5441.376570437829,179.81259201621629,167.7832748185191,1.0,4.0,0.5005260882926134,0.0014109828281314999,0.0
11.0,11.0,3.069886729962562e7,5540.655854646237,183.0933179861875,177.65287921960845,3.0,3.0,0.9965825078276473,0.0009786792742216032,0.0
12.0,12.0,3.997890862740197e7,6322.8876810680395,208.94249979629072,197.39208802178717,4.0,2.0,0.49938913916053534,0.0006094297829828394,0.0
13.0,13.0,3.998367226911964e7,6323.264368118705,208.95494757932545,197.39208802178717,2.0,4.0,0.499260219357631,0.0004942863039954296,0.0
14.0,14.0,6.1652094043213755e7,7851.884744646584,259.46885496180346,246.74011002723395,3.0,4.0,0.498217086250407,0.00029493907186741553,0.0
15.0,15.0,6.165220909453379e7,7851.892070993704,259.4690970640452,246.74011002723395,4.0,3.0,0.4982150470658467,0.0003114001769220511,0.0
16.0,16.0,7.561852933321974e7,8695.891520322672,287.35941611834465,256.6097144283233,5.0,1.0,0.4997457569177663,0.0004050499033559655,0.0
17.0,17.0,7.562344461918028e7,8696.17413689378,287.3687553025639,256.6097144283233,1.0,5.0,0.4996915212152776,0.00019785513551917472,0.0
18.0,18.0,9.13961095234148e7,9560.131250323648,315.91858381483183,286.21852763159137,5.0,2.0,0.4987936452696398,0.00020715031557680066,0.0
19.0,19.0,9.139726387745857e7,9560.191623469615,315.9205788709953,286.21852763159137,2.0,5.0,0.4987934816467312,0.00034260453177780917,0.0
20.0,20.0,1.0260081804708359e8,10129.206190372648,334.72390608890674,315.82734083485946,4.0,4.0,0.9961461785561548,0.0001658377023091609,0.0
21.0,21.0,1.2225869470376083e8,11057.065374852446,365.38540558772576,335.5665496370382,3.0,5.0,0.49751061785639966,0.00012388267122455523,0.0
22.0,22.0,1.2227610276681131e8,11057.852538662799,365.41141774903247,335.5665496370382,5.0,3.0,0.49710372889494925,0.0001343108042889057,0.0
23.0,23.0,1.7096516179536906e8,13075.364690721595,432.08096079385746,365.17536284030626,6.0,1.0,0.49991777869773285,0.00012790697614708664,0.0
24.0,24.0,1.709977626391265e8,13076.611282711072,432.1221549538118,365.17536284030626,1.0,6.0,0.4999182468563266,0.00011929403055580589,0.0
25.0,25.0,1.765765175714174e8,13288.209720327919,439.1145148910336,404.65378044466365,4.0,5.0,0.49674468802738997,6.554703889441426e-5,0.0
26.0,26.0,1.7657957641399664e8,13288.324815942626,439.1183182743397,404.65378044466365,5.0,4.0,0.49674610039100786,9.566123184159977e-5,0.0
27.0,27.0,1.937693671288129e8,13920.10657749476,459.9958140077621,394.78417604357435,2.0,6.0,0.4986660496000261,0.0001402915552120462,0.0
28.0,28.0,1.9377760030734318e8,13920.402304076675,460.0055864178377,394.78417604357435,6.0,2.0,0.49853490135512696,7.558361958167198e-5,0.0
29.0,29.0,2.365749689271539e8,15380.993756163933,508.2714491966394,444.1321980490211,6.0,3.0,0.497166449404535,0.00010847078463227115,0.0
30.0,30.0,2.3657634024490276e8,15381.03833442017,508.272922303986,444.1321980490211,3.0,6.0,0.4971660975899108,5.021654557526203e-5,0.0
31.0,31.0,2.684085524240177e8,16383.178947445385,541.3890830512075,493.4802200544679,5.0,5.0,0.9904361234178222,8.320329162944689e-5,0.0
32.0,32.0,3.08129416817996e8,17553.615491345252,580.0666540711089,513.2194288566466,6.0,4.0,0.49686741189876665,0.00011930684673290325,0.0
33.0,33.0,3.0816513221597147e8,17554.63278499358,580.1002709703218,513.2194288566466,4.0,6.0,0.4963837863039001,5.679075731169263e-5,0.0
34.0,34.0,3.5692200539440554e8,18892.379558816978,624.3066793577423,493.4802200544679,1.0,7.0,0.4995879394190183,4.1977549155831514e-5,0.0
35.0,35.0,3.5692341556352353e8,18892.41687988923,624.3079126483723,493.4802200544679,7.0,1.0,0.4995378979137289,5.8384258516499815e-5,0.0
36.0,36.0,3.88393388348927e8,19707.69870758448,651.2492457400839,523.089033257736,2.0,7.0,0.4979913615853251,4.9874658508400014e-5,0.0
37.0,37.0,3.8839344115872216e8,19707.700047410966,651.2492900152173,523.089033257736,7.0,2.0,0.49799177881905027,3.999863980674375e-5,0.0
38.0,38.0,4.230125504154453e8,20567.268909980376,679.6541069203263,602.0458684664509,6.0,5.0,0.49506336819904234,3.0284039761296154e-5,0.0
39.0,39.0,4.230150083550385e8,20567.328663563447,679.6560815027716,602.0458684664509,5.0,6.0,0.49506310273328974,3.863540242761571e-5,0.0
40.0,40.0,4.4594295545371187e8,21117.361469978012,697.8321484106714,572.4370552631827,7.0,3.0,0.4960996606447657,4.350083851927295e-5,0.0
41.0,41.0,4.4598454160724825e8,21118.346090715728,697.8646856197231,572.4370552631827,3.0,7.0,0.4956899543797998,4.255352553871875e-5,0.0
42.0,42.0,5.388738449640481e8,23213.656432454758,767.1051027732383,641.5242860708082,7.0,4.0,0.4944430578225388,5.162511756998392e-5,0.0
43.0,43.0,5.388772742323614e8,23213.730295503163,767.1075436089379,641.5242860708082,4.0,7.0,0.49444384971841715,3.5635211421817865e-5,0.0
44.0,44.0,6.071299859548142e8,24640.00783187404,814.2394885183701,710.6115168784338,6.0,6.0,0.9895831238597589,2.8041633884421432e-5,0.0
45.0,45.0,6.821201970618882e8,26117.430904702098,863.0615593291025,730.3507256806125,7.0,5.0,0.49309398111312264,3.517395154072193e-5,0.0
46.0,46.0,6.822388326658927e8,26119.702001858535,863.1366086959554,730.3507256806125,5.0,7.0,0.49204206555548796,2.3297590877555954e-5,0.0
47.0,47.0,7.076381991347373e8,26601.46986793657,879.0568317549969,641.5242860708082,1.0,8.0,0.499495695045272,2.90241716941028e-5,0.0
48.0,48.0,7.076397722428046e8,26601.499435986774,879.0578088437317,641.5242860708082,8.0,1.0,0.49949564670502655,2.038368152224698e-5,0.0
49.0,49.0,7.4980251647694e8,27382.52209853833,904.8670333219231,671.1330992740764,8.0,2.0,0.4978446145906488,1.822291692719411e-5,0.0
50.0,50.0,7.498204230634699e8,27382.84906768231,904.8778381556866,671.1330992740764,2.0,8.0,0.4976971135248526,2.048780051397468e-5,0.0
51.0,51.0,8.255317185955445e8,28732.06777444924,949.4633414231085,720.4811212795231,8.0,3.0,0.4954826560388889,2.3120023375675865e-5,0.0
52.0,52.0,8.255361857371838e8,28732.14551225132,949.4659103016835,720.4811212795231,3.0,8.0,0.4954826739233407,1.7875447086550637e-5,0.0
53.0,53.0,9.025675814360627e8,30042.76254667774,992.7758049671539,838.9163740925954,6.0,7.0,0.4921833814735511,2.6625969479724944e-5,0.0
54.0,54.0,9.025687584002298e8,30042.782134819503,992.7764522655898,838.9163740925954,7.0,6.0,0.4921827492954503,2.2063593457575642e-5,0.0
55.0,55.0,9.444791135673244e8,30732.378911619002,1015.5644696500159,789.5683520871487,4.0,8.0,0.4939329851881003,2.7115972339156135e-5,0.0
56.0,56.0,9.445478633913802e8,30733.497415546124,1015.6014310857322,789.5683520871487,8.0,4.0,0.4933898869485629,1.7897980642213e-5,0.0
57.0,57.0,1.1223290318536892e9,33501.179559139244,1107.060659035551,878.3947916969529,8.0,5.0,0.4915518526021389,1.5947807574910927e-5,0.0
58.0,58.0,1.1223295331662157e9,33501.187041151476,1107.060906281812,878.3947916969529,5.0,8.0,0.49155197279018714,2.9343966479903656e-5,0.0
59.0,59.0,1.2424048410063632e9,35247.76363127685,1164.7772689999356,967.2212313067571,7.0,7.0,0.979688672024518,1.4254523887071393e-5,0.0
60.0,60.0,1.3590482843143556e9,36865.27206347941,1218.22851980705,809.3075608893273,9.0,1.0,0.49924145104870316,1.6667185862089582e-5,0.0
61.0,61.0,1.3590525065366352e9,36865.329329013664,1218.230412170869,809.3075608893273,1.0,9.0,0.49918892255136793,1.2535219044184712e-5,0.0
