mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,vector_norm,w_norm
1,5997.637539819355,954.5536613357647,1,1,5769.321520089672,918.2160382087188,19.81944712056393,19.064967169121854,3.9574154245807027,3.9574154245807027,2.852273849440822e-05,0,37.1073389488836,8.063638273734973
2,14326.399253367925,2280.117257881544,1,2,13763.685069037629,2190.5585138974534,47.342192745906466,45.48267990501187,4.088397703869006,4.088397703869006,6.144295584170612e-06,0,49.597354758429965,7.419348375953285
3,14718.62673272815,2342.542200038198,2,1,13763.685069037629,2190.5585138974534,48.638325053802845,45.48267990501187,6.938124920038505,6.938124920038505,4.634546120631272e-06,0,49.21528665456392,7.366303100119622
4,22181.067206912765,3530.226489033707,2,2,21120.735623820692,3361.469476268149,73.2982754736998,69.79436487526272,5.0203345280085525,5.0203345280085525,2.040776488563664e-06,0,60.98209573142418,7.657215907827664
5,27641.32750917736,4399.253906707564,3,1,25733.673489295496,4095.6413397342403,91.34193676646059,85.03801330987261,7.413065300122808,7.413065300122808,1.7386851539775211e-06,0,62.04672705346554,7.36623884373179
6,27737.35292225161,4414.536825860772,1,3,25733.67348929564,4095.6413397342635,91.65925680856382,85.0380133098731,7.786216117918163,7.786216117918163,1.6670908356240422e-06,0,48.28176667949863,5.74006182747388
7,33828.28195754897,5383.938289850296,2,3,32283.93410886528,5138.147695878953,111.78698962481191,106.68362678910695,4.783642053895791,4.783642053895791,1.0757793646754449e-06,0,57.1845692354891,6.210334519326277
8,34984.66890155993,5567.9829881165715,3,2,32283.93410886528,5138.147695878953,115.6083192292725,106.68362678910695,8.365569027577163,8.365569027577163,2.899717081021541e-06,0,58.00566634740825,6.336052181466421
9,44345.42136531288,7057.7930137824915,1,4,40435.63918572103,6435.531853487844,146.54132197115342,133.62128126397894,9.669148944657971,9.669148944657971,1.549138445059286e-06,0,60.199264000232745,6.2947455472807246
10,44416.81162063436,7069.155125805498,4,1,40435.63918572103,6435.531853487844,146.7772340916965,133.62128126397894,9.84570174995327,9.84570174995327,6.083477585833893e-07,1,57.71549538126227,6.040676723929473
11,45116.10365959452,7180.450910470817,3,3,42383.20988535649,6745.497357355768,149.08807423433367,140.05711107842072,6.448057571926029,6.448057571926029,1.0416978128423074e-06,0,71.99426522469136,7.206737904749936
12,50134.49818430949,7979.153205464507,2,4,46181.48317046337,7350.01132589442,165.67157136172287,152.60866592377968,8.5597402735094,8.5597402735094,4.219133496863858e-07,1,76.39276821889705,7.606035202493399
13,50514.433041804,8039.621716087673,4,2,46181.48317046337,7350.01132589442,166.92708218033732,152.60866592377968,9.382439830585351,9.382439830585351,4.63343936672615e-07,1,66.28871648656369,6.643524510099755
14,58687.24436729966,9340.365037497733,4,3,55173.682376701785,8781.164278834282,193.93448314723304,182.32376882594457,6.368184683793281,6.368184683793281,4.4353329029881684e-07,1,62.25155982524336,5.875062028003249
15,60789.68015642576,9674.978085870462,3,4,55173.68237670185,8781.164278834292,200.88207120508372,182.3237688259448,10.178761934685317,10.178761934685317,3.584230588781777e-07,1,69.10387824708515,6.611470072645592
16,63809.891620712566,10155.659669594517,1,5,56894.84205927859,9055.095350166857,210.86248782945282,188.01141385090637,12.154088685630239,12.154088685630239,3.08840523053258e-07,1,63.94046140724283,6.30379955218482
17,63851.65973024029,10162.307270689458,5,1,56894.84205927866,9055.095350166868,211.00051231536324,188.0114138509066,12.227501508332384,12.227501508332384,2.953089993325484e-07,1,57.945474027657696,5.720940343075735
18,68843.46527753446,10956.77779849487,2,5,61920.728574696885,9854.99003251458,227.4961450413973,204.61966857869848,11.179998785845138,11.179998785845138,2.3373131795718826e-07,1,66.93793275628498,6.409769836349692
19,69074.4129891585,10993.534268395599,5,2,61920.728574696885,9854.99003251458,228.25932153009953,204.61966857869848,11.552971967750517,11.552971967750517,3.031751772548292e-07,1,66.77738397487109,6.417968214944242
20,72175.70570697496,11487.120334410985,4,4,66756.69035149952,10624.657253896185,238.5076745887948,220.60030896853021,8.117561441321083,8.117561441321083,2.342841596442131e-07,1,66.04541413623201,6.045228027138832
21,77086.29702687595,12268.665216477384,3,5,69884.34945913962,11122.439661183493,254.73493146274208,230.93579087844404,10.30552280084858,10.30552280084858,2.7291653083279416e-07,1,66.82123309618451,6.188824052022061
22,77948.8438994576,12405.943814897208,5,3,69884.34945913962,11122.439661183493,257.58525411339275,230.93579087844404,11.539771784000338,11.539771784000338,2.115436630352696e-07,1,60.740629751476,5.711740726495845
23,85510.82066442333,13609.469796587564,6,1,74443.24920110803,11848.011090178132,282.574126419385,246.0008680465813,14.867125739523154,14.867125739523154,1.7884452018202486e-07,1,68.09632060753185,6.632389737676267
24,85549.62881319455,13615.646305296748,1,6,74443.24920110813,11848.011090178148,282.70236958968525,246.00086804658164,14.919256925611323,14.919256925611323,1.547881560544072e-07,1,62.87879882899675,6.136244375931135
25,87006.1789465919,13847.463458888096,2,6,78855.43433539786,12550.232164136936,287.51560115889214,260.58112058345426,10.336313127800747,10.336313127800747,1.729232392230065e-07,1,67.32919657051308,6.065796049390972
26,89893.68706109957,14307.02464852995,6,2,78855.43433539795,12550.23216413695,297.0574939467994,260.58112058345455,13.99808753668431,13.99808753668431,1.827191899707324e-07,1,78.40051185073398,7.474101293818903
27,90033.88929369494,14329.338526880023,5,4,80295.71783734502,12779.460402925532,297.520798158943,265.340598380494,12.127883925362665,12.127883925362665,1.803740613954379e-07,1,56.92905344721565,5.463347748024949
28,90104.68987456808,14340.606789299762,4,5,80295.71783734512,12779.460402925548,297.7547616753116,265.3405983804943,12.216058715725014,12.216058715725014,1.7115401093241798e-07,1,79.75268212424191,7.3521514650430975
29,97161.16555087856,15463.6797739923,3,6,85915.4831162536,13673.873826080036,321.07318423680465,283.91135062016076,13.089238431457414,13.089238431457414,1.716931022273515e-07,1,75.56462014709979,7.066147152090264
30,97623.3730827518,15537.24238742423,6,3,85915.4831162536,13673.873826080036,322.60056859037195,283.91135062016076,13.627217751491983,13.627217751491983,1.9139857898759106e-07,1,72.29484709011193,6.820173848448787
31,101936.41961722691,16223.685063171313,1,7,92648.6154110613,14745.485113290359,336.85321342778167,306.16127129087903,10.024763095441521,10.024763095441521,1.527480570214249e-07,1,76.9710670946232,6.915848100213579
32,107033.40839785618,17034.896022492394,5,5,92648.6154110613,14745.485113290359,353.6964286006065,306.16127129087903,15.526182364380462,15.526182364380462,1.317991418002947e-07,1,83.37848242251498,7.656420800130655
33,108425.79784109232,17256.501685092397,7,1,92648.6154110613,14745.485113290359,358.2976384533582,306.16127129087903,17.02905365615145,17.02905365615145,1.1691023947209987e-07,1,71.50492958558256,6.78616980542621
34,109240.08463377626,17386.099453242492,6,4,95259.16266436674,15160.96661282889,360.9884836272163,314.78793518964125,14.676721460033695,14.676721460033695,1.5683513260266425e-07,1,61.68580737334727,6.158575734295289
35,109374.94525896774,17407.56318837018,4,6,95259.16266436681,15160.9666128289,361.4341362715922,314.7879351896415,14.818293799554006,14.818293799554006,1.581397084287355e-07,1,54.78971553208738,5.458899973970598
36,112971.49109689685,17979.97123653318,7,2,96547.8184360837,15366.062548841546,373.31907422895785,319.04635273398037,17.010920522959204,17.010920522959204,1.0662651329440546e-07,1,77.02278414009193,7.547933844942926
37,113068.68382724644,17995.439940000913,2,7,96547.81843608378,15366.062548841557,373.64025172040806,319.04635273398065,17.111588494461664,17.111588494461664,1.0492148771443053e-07,1,69.85821747172561,6.8750776081162055
38,117736.14204615414,18738.288987214968,7,3,102834.68041805105,16366.64770980816,389.0640649706948,339.8215542660221,14.49069668668641,14.49069668668641,1.1456943374359353e-07,1,73.22616797707884,6.621795938958549
39,119332.5196792388,18992.360378561734,3,7,102834.68041805121,16366.647709808185,394.3393624312888,339.8215542660226,16.04306951129652,16.04306951129652,1.0134502389419469e-07,1,66.07343525676123,6.33683441999865
40,119595.49176671804,19034.21368617925,6,5,106489.6197884536,16948.349377308903,395.2083648255442,351.8994561231493,12.307182619582873,12.307182619582873,1.2515709790703197e-07,1,58.375196293383134,5.69219128688738
41,121791.64082264555,19383.74166419671,5,6,106489.61978845367,16948.349377308914,402.46563234027013,351.89945612314955,14.369495416163591,14.369495416163591,1.1017927562586673e-07,1,77.31802394921388,7.244896164786978
42,128213.3627191351,20405.79044718448,1,8,111237.22265879717,17703.953841961353,423.68648416825096,367.58811076649846,15.26120452720182,15.26120452720182,9.435863807307103e-08,1,69.0455325244362,6.594465821615074
43,128968.07230837896,20525.906208911496,4,7,111237.22265879717,17703.953841961353,426.1804539515353,367.58811076649846,15.939673093033257,15.939673093033257,3.660364988499775e-07,1,62.14882567854124,6.038638345190528
44,133760.82470116808,21288.696443239394,7,4,111237.22265879724,17703.953841961367,442.01830710291154,367.5881107664987,20.248259983493536,20.248259983493536,3.678536410390693e-07,1,63.56472741389128,5.838979807400219
45,134691.18092065162,21436.76723440649,8,1,111237.22265879724,17703.953841961367,445.0927086106587,367.5881107664987,21.084631296302426,21.084631296302426,4.850737166425452e-07,1,54.92426131166724,5.7911732795222415
46,134722.8700549847,21441.8107167779,2,8,114709.78150400179,18256.628747353152,445.1974266964118,379.0633284582385,17.446714908339995,17.446714908339995,3.593250176091445e-07,1,55.259039827622985,5.845161731107891
47,137798.05049899648,21931.240885341907,8,2,114709.78150400179,18256.628747353152,455.35949064102954,379.0633284582385,20.12755032071022,20.12755032071022,3.191001414451042e-07,1,56.481771454404594,5.740347995519663
48,137947.6216266457,21955.04586965111,6,6,119230.33221895191,18976.096739135068,455.85375476344865,394.00167964334196,15.698429300122882,15.698429300122882,3.499335207371782e-07,1,53.76304569273661,5.585216506128009
49,139366.3958547927,22180.850801192093,3,8,120341.85801586579,19153.00156408807,460.54215425476326,397.6747636883209,15.808745313221559,15.808745313221559,2.659688595563231e-07,1,71.74141867314549,6.827544009202676
50,141494.72096914955,22519.58426364861,8,3,120341.85801586584,19153.001564088077,467.57529468369194,397.67476368832115,17.577311254821176,17.577311254821176,7.024700648064494e-08,1,59.11391092858179,5.877214908862033
51,143408.29371502725,22824.138825120976,5,7,121446.20454378017,19328.763772892016,473.89877682086313,401.3241235350043,18.08380035732608,18.08380035732608,9.746326228709472e-08,1,57.33331576973048,5.77915480037412
52,143582.03442013334,22851.79051715488,7,5,121446.20454378023,19328.763772892024,474.47291033504735,401.3241235350045,18.22686016373063,18.22686016373063,2.4237147776096654e-07,1,55.28776004720834,5.6301123239698985
53,150442.81528561577,23943.7177053667,4,8,127928.34042864678,20360.427740761894,497.1446511107164,422.7446159448029,17.599286273495153,17.599286273495153,6.162024530150833e-08,1,58.23083241112509,5.456032028359182
54,151256.1958426158,24073.171241628093,8,4,127928.34042864678,20360.427740761894,499.8325015903975,422.7446159448029,18.235095785503713,18.235095785503713,8.539104311912973e-08,1,63.30074321651493,6.268364609276003
55,151656.31578559044,24136.852308382156,9,1,130036.94439953807,20696.02248575244,501.1547148783829,429.71258702038574,16.625560901851802,16.625560901851802,6.466687165894723e-08,1,62.112350213214064,6.366678923325482
56,155294.7062082578,24715.920129047874,1,9,130036.94439953813,20696.022485752448,513.1779300372292,429.7125870203859,19.423527617747823,19.423527617747823,7.656928644834414e-08,1,72.49234468427642,7.119280389433299
57,161313.74930673465,25673.880590853623,2,9,133153.88030371806,21192.098242203294,533.0681127324393,440.0126336505699,21.148365288931263,21.148365288931263,8.325327756051513e-08,1,62.33106820220678,6.270632384746103
