mode_rank,m,n,Omega_exact,Omega_num_5x5,rel_error_percent_5x5,relative_residual_5x5,residual_ok_5x5,Omega_num_17x17,rel_error_percent_17x17,relative_residual_17x17,residual_ok_17x17
1,1,1,19.064967169121854,33.14961085253813,73.87709382593721,7.214244925062248e-06,0,19.81944712056393,3.9574154245807027,2.852273849440822e-05,0
5,3,1,85.03801330987261,186.81083083515978,119.67920411596882,1.6151616677591878e-07,1,91.34193676646059,7.413065300122808,1.7386851539775211e-06,0
10,4,1,133.62128126397894,648.0740695794372,385.00812404209614,7.837711887635707e-08,1,146.7772340916965,9.84570174995327,6.083477585833893e-07,1
20,4,4,220.60030896853021,664.9136670537846,201.41103163578887,1.6668348750447713e-07,1,238.5076745887948,8.117561441321083,2.342841596442131e-07,1
30,6,3,283.91135062016076,706.7435028489192,148.93104883096308,3.205132146229364e-08,1,322.60056859037195,13.627217751491983,1.9139857898759106e-07,1
40,6,5,351.8994561231493,753.9307069707075,114.24605632435674,5.968812603381577e-08,1,395.2083648255442,12.307182619582873,1.2515709790703197e-07,1
50,8,3,397.67476368832115,808.6805272358755,103.3522368217666,1.522424424699606e-07,1,467.57529468369194,17.577311254821176,7.024700648064494e-08,1
60,9,2,440.0126336505701,3869883.72368286,879393.7753437494,5.626660139637528e-16,1,536.364721897883,21.897573132827265,8.011132849446543e-08,1
70,1,10,492.1782151566511,3909987.2225308698,794325.0887427827,7.70662438457509e-16,1,610.9911430832915,24.140224875419253,1.208326323904744e-07,1
75,9,5,507.6289202278329,5529556.950785478,1089191.1594366438,1.1227631478318333e-15,1,628.8534881991433,23.880548002840857,5.709942981122505e-08,1
