mode_rank,omega_num,freq_num_hz,m,n,omega_exact,freq_exact_hz,Omega_num,Omega_exact,rel_error_percent,abs_rel_error_percent,relative_residual,residual_within_tolerance,boundary_max_abs_w,vector_norm,w_norm
1,10031.528592606306,1596.5673622809777,1,1,5769.321520089672,918.2160382087188,33.14961085253813,19.064967169121854,73.87709382593721,73.87709382593721,7.214244925062248e-06,0,3.0971174902267427e-10,10.582945223531338,2.0185777428593754
2,24816.67969328341,3949.697244314316,1,2,13763.685069037629,2190.5585138974534,82.00776849609647,45.48267990501187,80.30548918261916,80.30548918261916,1.5368290116639857e-06,0,9.090204733254667e-10,15.314572999773514,2.1439682877633257
3,27693.5728961126,4407.569018292056,2,1,13763.685069037629,2190.5585138974534,91.51458385905025,45.48267990501187,101.20754548802651,101.20754548802651,1.044936996624212e-06,0,1.012439167072056e-09,13.190209171584591,1.7882176932535232
4,38741.15965998216,6165.847060998492,2,2,21120.735623820692,3361.469476268149,128.02180194661568,69.79436487526272,83.4271322268176,83.4271322268176,8.847557014454186e-07,1,1.2133020265054923e-09,15.370736572344518,1.859439045873967
5,56531.5291110864,8997.272298572781,3,1,25733.673489295496,4095.6413397342403,186.81083083515978,85.03801330987261,119.67920411596882,119.67920411596882,1.6151616677591878e-07,1,1.6067314674331947e-09,13.445676655550235,1.999999671865524
6,56994.66373149568,9070.982462727909,1,3,25733.67348929564,4095.6413397342635,188.34127879203658,85.0380133098731,121.47892626058064,121.47892626058064,3.11349734292295e-07,1,9.74322993800497e-10,10.68259994353353,1.5107806036853335
7,61588.122414491285,9802.054118015045,2,3,32283.93410886528,5138.147695878953,203.5205574436219,106.68362678910695,90.77018992421674,90.77018992421674,3.617829761253048e-07,1,2.0585657312983064e-09,15.434330129840106,1.9368316745845304
8,66316.33238221408,10554.5721063545,3,2,32283.93410886528,5138.147695878953,219.1451274193907,106.68362678910695,105.41589559248725,105.41589559248725,1.411168514274495e-07,1,1.540336851617169e-09,16.7232835470802,2.1441925758302363
9,80917.19237877139,12878.371148199309,1,4,40435.63918572103,6435.531853487844,267.3942873086428,133.62128126397894,100.11354836538737,100.11354836538737,1.4726203247544806e-07,1,1.5909260501282612e-09,15.293957311812028,1.912005158868221
10,196116.1350590963,31212.85231473293,4,1,40435.63918572103,6435.531853487844,648.0740695794372,133.62128126397894,385.00812404209614,385.00812404209614,7.837711887635707e-08,1,1.0,11668795774.146286,2.2983157182495595
11,196116.13508605733,31212.852319023918,3,3,42383.20988535649,6745.497357355768,648.074069668531,140.05711107842072,362.72128896451517,362.72128896451517,6.345129263916388e-08,1,1.0,15445692925.09822,2.336129626953474
12,196116.1351041116,31212.85232189734,2,4,46181.48317046337,7350.01132589442,648.0740697281922,152.60866592377968,324.6640030598737,324.6640030598737,1.0526049342215233e-07,1,0.5243136273605203,6619472404.515932,1.981393417050544
