case,metric_value
"Table 10.1 (field L2, SS mean)",0.024826332155027452
"Table 10.1 (field L2, CF mean)",0.002724452364425752
Table 10.2 (Field L2_w mean),17.65686214780002
Table 10.2 (Field L2_phi mean),16.616609809548013
Table 10.3 (Field L2_w mean),37.079565195336
Table 10.3 (Field L2_phi mean),39.83686628682439
Table 10.4 (Field L2_w mean),10.869582066987398
Table 10.4 (Field L2_phi mean),10.86958206698753
Table 10.5 (Field L2_w mean),0.06677471163610975
Table 10.5 (Field L2_phi mean),0.0576152047617624
