method,ndiv,h,log10_h,lambda_cr,k_num,relative_error_k
Exact,15,6.666667e-02,-1.176091,0.000000e+00,4.000000,0.000000e+00
Exact,16,6.250000e-02,-1.204120,0.000000e+00,4.000000,0.000000e+00
Exact,17,5.882353e-02,-1.230449,0.000000e+00,4.000000,0.000000e+00
Exact,18,5.555556e-02,-1.255273,0.000000e+00,4.000000,0.000000e+00
Exact,19,5.263158e-02,-1.278754,0.000000e+00,4.000000,0.000000e+00
Exact,20,5.000000e-02,-1.301030,0.000000e+00,4.000000,0.000000e+00
Exact,21,4.761905e-02,-1.322219,0.000000e+00,4.000000,0.000000e+00
Exact,22,4.545455e-02,-1.342423,0.000000e+00,4.000000,0.000000e+00
Exact,23,4.347826e-02,-1.361728,0.000000e+00,4.000000,0.000000e+00
Exact,24,4.166667e-02,-1.380211,0.000000e+00,4.000000,0.000000e+00
Exact,25,4.000000e-02,-1.397940,0.000000e+00,4.000000,0.000000e+00
