method,ndiv,h,log10_h,mode_rank,lambda_cr,k_num,k_exact,error_y
Mix,9,1.111111e-01,-0.954243,1,2.149458e+08,11.891098,10.310000,1.533558e-01
Mix,9,1.111111e-01,-0.954243,2,2.410420e+08,13.334772,23.920000,-4.425263e-01
Mix,9,1.111111e-01,-0.954243,3,2.576203e+08,14.251908,23.920000,-4.041845e-01
Mix,9,1.111111e-01,-0.954243,4,2.619699e+08,14.492530,39.570000,-6.337495e-01
Mix,9,1.111111e-01,-0.954243,5,2.807794e+08,15.533100,50.800000,-6.942303e-01
Mix,9,1.111111e-01,-0.954243,6,3.480512e+08,19.254669,50.800000,-6.209711e-01
Mix,10,1.000000e-01,-1.000000,1,2.144978e+08,11.866313,10.310000,1.509518e-01
Mix,10,1.000000e-01,-1.000000,2,2.321665e+08,12.843769,23.920000,-4.630531e-01
Mix,10,1.000000e-01,-1.000000,3,2.335316e+08,12.919289,23.920000,-4.598960e-01
Mix,10,1.000000e-01,-1.000000,4,2.488675e+08,13.767691,39.570000,-6.520675e-01
Mix,10,1.000000e-01,-1.000000,5,2.551571e+08,14.115641,50.800000,-7.221330e-01
Mix,10,1.000000e-01,-1.000000,6,3.049631e+08,16.870977,50.800000,-6.678942e-01
Mix,11,9.090909e-02,-1.041393,1,2.102979e+08,11.633967,10.310000,1.284158e-01
Mix,11,9.090909e-02,-1.041393,2,2.112368e+08,11.685909,23.920000,-5.114586e-01
Mix,11,9.090909e-02,-1.041393,3,2.145499e+08,11.869195,23.920000,-5.037962e-01
Mix,11,9.090909e-02,-1.041393,4,2.319371e+08,12.831075,39.570000,-6.757373e-01
Mix,11,9.090909e-02,-1.041393,5,2.539222e+08,14.047321,50.800000,-7.234779e-01
Mix,11,9.090909e-02,-1.041393,6,2.599715e+08,14.381978,50.800000,-7.168902e-01
Mix,12,8.333333e-02,-1.079181,1,1.916655e+08,10.603196,10.310000,2.843799e-02
Mix,12,8.333333e-02,-1.079181,2,1.925461e+08,10.651914,23.920000,-5.546859e-01
Mix,12,8.333333e-02,-1.079181,3,2.084263e+08,11.530426,23.920000,-5.179588e-01
Mix,12,8.333333e-02,-1.079181,4,2.259292e+08,12.498710,39.570000,-6.841367e-01
Mix,12,8.333333e-02,-1.079181,5,2.326582e+08,12.870971,50.800000,-7.466344e-01
Mix,12,8.333333e-02,-1.079181,6,2.516201e+08,13.919969,50.800000,-7.259849e-01
Mix,13,7.692308e-02,-1.113943,1,1.746405e+08,9.661351,10.310000,-6.291453e-02
Mix,13,7.692308e-02,-1.113943,2,1.760857e+08,9.741304,23.920000,-5.927548e-01
Mix,13,7.692308e-02,-1.113943,3,2.054635e+08,11.366522,23.920000,-5.248110e-01
Mix,13,7.692308e-02,-1.113943,4,2.151388e+08,11.901771,39.570000,-6.992224e-01
Mix,13,7.692308e-02,-1.113943,5,2.228995e+08,12.331102,50.800000,-7.572618e-01
Mix,13,7.692308e-02,-1.113943,6,2.300107e+08,12.724507,50.800000,-7.495176e-01
Mix,14,7.142857e-02,-1.146128,1,1.614448e+08,8.931346,10.310000,-1.337201e-01
Mix,14,7.142857e-02,-1.146128,2,1.614457e+08,8.931398,23.920000,-6.266138e-01
Mix,14,7.142857e-02,-1.146128,3,2.021130e+08,11.181165,23.920000,-5.325600e-01
Mix,14,7.142857e-02,-1.146128,4,2.087013e+08,11.545641,39.570000,-7.082224e-01
Mix,14,7.142857e-02,-1.146128,5,2.092203e+08,11.574355,50.800000,-7.721584e-01
Mix,14,7.142857e-02,-1.146128,6,2.096429e+08,11.597730,50.800000,-7.716982e-01
Mix,15,6.666667e-02,-1.176091,1,1.493479e+08,8.262130,10.310000,-1.986295e-01
Mix,15,6.666667e-02,-1.176091,2,1.503482e+08,8.317469,23.920000,-6.522797e-01
Mix,15,6.666667e-02,-1.176091,3,1.952361e+08,10.800726,23.920000,-5.484646e-01
Mix,15,6.666667e-02,-1.176091,4,1.965672e+08,10.874367,39.570000,-7.251866e-01
Mix,15,6.666667e-02,-1.176091,5,2.002463e+08,11.077901,50.800000,-7.819311e-01
Mix,15,6.666667e-02,-1.176091,6,2.009439e+08,11.116490,50.800000,-7.811715e-01
Mix,16,6.250000e-02,-1.204120,1,1.397518e+08,7.731259,10.310000,-2.501204e-01
Mix,16,6.250000e-02,-1.204120,2,1.404168e+08,7.768051,23.920000,-6.752487e-01
Mix,16,6.250000e-02,-1.204120,3,1.837137e+08,10.163295,23.920000,-5.751131e-01
Mix,16,6.250000e-02,-1.204120,4,1.841976e+08,10.190062,39.570000,-7.424801e-01
Mix,16,6.250000e-02,-1.204120,5,1.932175e+08,10.689055,50.800000,-7.895855e-01
Mix,16,6.250000e-02,-1.204120,6,1.993923e+08,11.030655,50.800000,-7.828611e-01
Mix,17,5.882353e-02,-1.230449,1,1.316441e+08,7.282734,10.310000,-2.936242e-01
Mix,17,5.882353e-02,-1.230449,2,1.318908e+08,7.296380,23.920000,-6.949674e-01
Mix,17,5.882353e-02,-1.230449,3,1.724453e+08,9.539907,23.920000,-6.011745e-01
Mix,17,5.882353e-02,-1.230449,4,1.737410e+08,9.611590,39.570000,-7.570991e-01
Mix,17,5.882353e-02,-1.230449,5,1.877448e+08,10.386297,50.800000,-7.955453e-01
Mix,17,5.882353e-02,-1.230449,6,1.937388e+08,10.717897,50.800000,-7.890178e-01
Mix,18,5.555556e-02,-1.255273,1,1.242836e+08,6.875537,10.310000,-3.331196e-01
Mix,18,5.555556e-02,-1.255273,2,1.249349e+08,6.911569,23.920000,-7.110548e-01
Mix,18,5.555556e-02,-1.255273,3,1.632278e+08,9.029984,23.920000,-6.224923e-01
Mix,18,5.555556e-02,-1.255273,4,1.633457e+08,9.036510,39.570000,-7.716323e-01
Mix,18,5.555556e-02,-1.255273,5,1.822360e+08,10.081544,50.800000,-8.015444e-01
