mode,vtk_w_field,lambda,k_num,k_ref,w_min,w_min_node,w_max,w_max_node,max_abs_w,w_norm,phi_1_norm,phi_2_norm,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,w1,191.4688985137971,0.0021184642127498915,4.0,-1.0,18,0.9999844867758907,9,1.0,4.999921866556004,8.445768294808273,94.36570827680475,true,0.0,0.0
2,w2,3.3002223408678e6,36.51456177746964,4.0,-0.5114322631253415,16,1.0,21,1.0,2.757423860455427,52.62339645336466,597.5116661286564,true,0.0,0.0
3,w3,6.045254048176922e6,66.8863426773272,4.0,-1.0,24,0.957077209864142,19,1.0,4.16441371129461,11.891073213555552,75.26401404816566,true,0.0,0.0
4,w4,1.4974888267073859e7,165.68625573117936,4.0,-0.7130362042210325,24,1.0,23,1.0,3.2457274520343278,50.914055740546814,530.2413772788057,true,0.0,0.0
5,w5,1.556293644053083e7,172.1925814086719,4.0,-0.9524530358612473,20,1.0,23,1.0,4.402070821263062,49.74980429943891,551.0839235852882,true,0.0,0.0
6,w6,1.6765477918426463e7,185.4978289190695,4.0,-0.9975438406683138,20,1.0,17,1.0,4.728276726155091,12.745495909539015,100.65174562511092,true,0.0,0.0
7,w7,2.448205517159824e7,270.87614823178177,4.0,-1.0,20,0.42220976629321966,22,1.0,1.7711100665228414,310.6423510453307,3258.089419970576,true,0.0,0.0
8,w8,2.6691051555657323e7,295.3170878415423,4.0,-0.9999999999848672,5,1.0,12,1.0,4.968920280909125,13.38937171076271,121.54737608886151,true,0.0,0.0
9,w9,2.8388998047633518e7,314.10363179900173,4.0,-1.0,22,0.9884386538878229,23,1.0,4.921280549946198,12.15352942973376,107.53220953018592,true,0.0,0.0
10,w10,3.5615490863386154e7,394.0595229787016,4.0,-0.8826582237433708,24,1.0,21,1.0,3.5453966635990537,43.738543501564436,506.897409049745,true,0.0,0.0
11,w11,3.583681480934105e7,396.5083115943433,4.0,-1.0,20,0.9043990833357879,19,1.0,3.371386850940524,27.771195475920102,311.8052245260335,true,0.0,0.0
12,w12,8.206571449059005e7,907.9974898875679,4.0,-1.0,18,0.8984876928194918,17,1.0,2.7269072249101316,284.3541134226872,2939.7133584335606,true,0.0,0.0
13,w13,9.088471704734951e7,1005.5733440010151,4.0,-1.0,20,0.9760904248078528,23,1.0,4.560426837361322,63.675911401829396,649.2714020180982,true,0.0,0.0
14,w14,9.69326520204558e7,1072.4893491643338,4.0,-0.9892361052962776,18,1.0,21,1.0,4.855976068726429,83.50541846423077,967.4924069971983,true,0.0,0.0
15,w15,9.706130593472561e7,1073.9128112269784,4.0,-1.0,18,0.9954058601317819,19,1.0,4.859613705580677,33.52824582405854,312.7866287762674,true,0.0,0.0
16,w16,1.393703894642036e8,1542.032072512572,4.0,-1.0,24,0.9892860167092176,25,1.0,4.751033072871489,32.91999465569342,305.79672759395805,true,0.0,0.0
17,w17,3.489475424919692e8,3860.850961353342,4.0,-0.9918633678391591,24,1.0,23,1.0,4.950097948555854,20.686295571988346,174.06720769400187,true,0.0,0.0
18,w18,3.527718938903008e8,3903.1646302428176,4.0,-0.9954199510223043,24,1.0,17,1.0,4.811789854111425,148.6863389367728,1564.8776672995698,true,0.0,0.0
