mode_rank,eigen_index,omega_sq,omega,omega_sq_isfinite,omega_sq_is_positive,vector_isfinite,norm_v,norm_Kv,norm_Mv,residual_norm,relative_residual,residual_within_tolerance,Mv_over_v,selected_positive_mode
1.0,1.0,1.0063156590427786e8,10031.528592606306,1.0,1.0,1.0,10.582945223531338,1.0488334750380786e6,0.010422455670831365,7.566541574528861,7.214244925062248e-6,0.0,0.0009848350766908326,1.0
2.0,2.0,6.158675909990252e8,24816.67969328341,1.0,1.0,1.0,15.314572999773514,5.146913582418254e6,0.008357170042716485,7.909926113987788,1.5368290116639855e-6,0.0,0.000545700493434592,1.0
3.0,3.0,7.669339797523023e8,27693.572896112597,1.0,1.0,1.0,13.190209171584593,5.339031561555078e6,0.006961530322555996,5.578954315263949,1.0449369966242121e-6,0.0,0.0005277801308528968,1.0
4.0,4.0,1.5008774518002295e9,38741.159659982164,1.0,1.0,1.0,15.370736572344518,8.19388940149368e6,0.00545939817168853,7.249590364984722,8.847557014454186e-7,1.0,0.0003551812983062399,1.0
5.0,5.0,3.195813783637609e9,56531.5291110864,1.0,1.0,1.0,13.445676655550237,1.6233002367989939e7,0.005079458476893162,2.621892486668696,1.6151616677591876e-7,1.0,0.0003777763371095507,1.0
6.0,6.0,3.248391693866268e9,56994.663731495675,1.0,1.0,1.0,10.68259994353353,1.2508708499744873e7,0.0038507388742283974,3.8945830677353386,3.11349734292295e-7,1.0,0.000360468321811429,1.0
7.0,7.0,3.7930968225423636e9,61588.122414491285,1.0,1.0,1.0,15.434330129840106,1.4154388611537583e7,0.0037316173542692303,5.1208168371161875,3.617829761253048e-7,1.0,0.00024177384589271373,1.0
8.0,8.0,4.397855940628297e9,66316.33238221408,1.0,1.0,1.0,16.7232835470802,1.813407829733472e7,0.004123390852093864,2.5590241255835915,1.411168514274495e-7,1.0,0.0002465658637243992,1.0
9.0,9.0,6.547592022463098e9,80917.19237877139,1.0,1.0,1.0,15.293957311812028,1.56907810196647e7,0.002396419911174546,2.310656304083007,1.4726203247544806e-7,1.0,0.0001566906368519619,1.0
10.0,10.0,3.84615384305177e10,196116.1350590963,1.0,1.0,1.0,1.1668795774146286e10,1.5871147620900995e15,41264.98384078138,1.243934823787569e8,7.837711887635707e-8,1.0,3.5363532483968264e-6,1.0
11.0,11.0,3.846153844109269e10,196116.13508605733,1.0,1.0,1.0,1.5445692925098219e10,1.5558577487939752e15,40452.30148315086,9.872118532363725e7,6.345129263916388e-8,1.0,2.6190020531496245e-6,1.0
12.0,12.0,3.846153844817416e10,196116.1351041116,1.0,1.0,1.0,6.619472404515932e9,9.244502840852734e14,24035.707415216308,9.730809313065562e7,1.0526049342215232e-7,1.0,3.631060898270183e-6,1.0
13.0,13.0,3.9134271464975876e10,197823.83947587275,1.0,1.0,1.0,9742.092909844596,1.133827173580292e9,0.02897274253421979,108.56570918576828,9.575154989710625e-8,1.0,2.9739751819593308e-6,1.0
14.0,14.0,3.9268512786756516e10,198162.8441125039,1.0,1.0,1.0,4118.474765934068,4.58666482086936e8,0.011680261869730967,45.556535487668285,9.932387527268129e-8,1.0,2.836064935093001e-6,1.0
15.0,15.0,3.9278412945828384e10,198187.82239539438,1.0,1.0,1.0,3607.639259837406,4.307976332906762e8,0.010967796437519741,45.921108737451426,1.0659554447780338e-7,1.0,3.040158853913252e-6,1.0
16.0,16.0,3.928211588456843e10,198197.16416883573,1.0,1.0,1.0,8566.32767518806,1.0320386121223916e9,0.026272480558064016,231.87205189267,2.2467381169976814e-7,1.0,3.066947886450917e-6,1.0
17.0,17.0,3.96611635085845e10,199151.1072240988,1.0,1.0,1.0,3087.8393888396818,2.568813506388521e8,0.006476898617465276,88.17438390423703,3.4324945615924007e-7,1.0,2.0975503586341327e-6,1.0
18.0,18.0,4.03369223319502e10,200840.53956298315,1.0,1.0,1.0,1237.105601265013,6.097159669995627e8,0.015115579427919515,38.15992918650591,6.25864029349477e-8,1.0,1.2218503749771198e-5,1.0
19.0,19.0,4.048586946289074e10,201211.00731046186,1.0,1.0,1.0,3804.168634351377,3.754489601679976e8,0.009273580321550932,17.843622543480603,4.7526093644531396e-8,1.0,2.4377416494661012e-6,1.0
20.0,20.0,4.048628064422264e10,201212.02907436385,1.0,1.0,1.0,3297.074136271255,3.239564105114268e8,0.00800163432448779,53.998184697221525,1.6668348750447713e-7,1.0,2.4268894158191544e-6,1.0
21.0,21.0,4.151870160292529e10,203761.3839836324,1.0,1.0,1.0,12363.553340420056,6.674837637689637e8,0.01607670122630102,210.41319883522053,3.1523343376491613e-7,1.0,1.3003301545795577e-6,1.0
22.0,22.0,4.254063178776417e10,206253.80429888843,1.0,1.0,1.0,5647.455138421421,3.387229124941714e8,0.007962338448130468,26.80902923559352,7.914737458469049e-8,1.0,1.409898485772851e-6,1.0
23.0,23.0,4.258528416091317e10,206362.0220896112,1.0,1.0,1.0,2994.856121212774,2.4924981775800744e8,0.005852956323481915,33.83716214356509,1.3575601558279587e-7,1.0,1.954336397673671e-6,1.0
24.0,24.0,4.2605007389004364e10,206409.8044885571,1.0,1.0,1.0,1625.7716269142552,3.3592435868954617e8,0.007884621334455954,13.531667578276261,4.028188855093395e-8,1.0,4.849771766174264e-6,1.0
25.0,25.0,4.294650337131986e10,207235.3815624153,1.0,1.0,1.0,94937.60265240181,6.09974501511033e9,0.1420312373645471,449.87488244862095,7.375306366646276e-8,1.0,1.4960482822024775e-6,1.0
26.0,26.0,4.338935974118512e10,208301.12755620197,1.0,1.0,1.0,1583.4676288471348,2.51753760578595e8,0.005802200422438822,28.631633648304295,1.1372872241053647e-7,1.0,3.6642368411807654e-6,1.0
27.0,27.0,4.450531380314948e10,210962.82564269347,1.0,1.0,1.0,617.8856295415303,2.851120179631646e8,0.006406246726267826,5.545365012350966,1.9449776252019486e-8,1.0,1.0368013787634528e-5,1.0
28.0,28.0,4.454337071400129e10,211053.0045130874,1.0,1.0,1.0,596.245775577768,2.69444484298096e8,0.006049036745474181,11.908610885204324,4.419689952625625e-8,1.0,1.0145206881529023e-5,1.0
29.0,29.0,4.545461145718907e10,213200.87114547414,1.0,1.0,1.0,30325.592132088866,1.293517365507476e9,0.028457340948740355,160.06505310230872,1.2374403010029752e-7,1.0,9.383935794159933e-7,1.0
30.0,30.0,4.5740510880875496e10,213870.31322947907,1.0,1.0,1.0,2307.6195631681253,3.5844747361112094e8,0.00783654289365091,11.488715264453477,3.205132146229364e-8,1.0,3.3959423029384184e-6,1.0
31.0,31.0,4.5809641404285324e10,214031.87006678543,1.0,1.0,1.0,1923.9937302010887,3.8349444295954776e8,0.008371478805209583,12.980482428105079,3.3847902274490855e-8,1.0,4.351094639136182e-6,1.0
32.0,32.0,4.619477900055286e10,214929.70711503064,1.0,1.0,1.0,11493.30262320935,5.3245870487018275e8,0.01152638276532344,86.74315624624315,1.6291057964277577e-7,1.0,1.0028782103106977e-6,1.0
33.0,33.0,4.687088730397181e10,216496.85287313486,1.0,1.0,1.0,1560.4498639043377,3.435245855579914e8,0.007329167668799925,12.817337807057603,3.7311267116410343e-8,1.0,4.6968299580365335e-6,1.0
34.0,34.0,4.688163029524205e10,216521.66241566234,1.0,1.0,1.0,648.9412241150168,2.69502773284804e8,0.005748579338988223,10.858447845552059,4.0290672015004144e-8,1.0,8.858397533347887e-6,1.0
35.0,35.0,4.692486478024457e10,216621.47811388547,1.0,1.0,1.0,1715.9086584614158,4.446321800186349e8,0.009475406736686615,16.168386869102513,3.636351032537699e-8,1.0,5.522092734926123e-6,1.0
36.0,36.0,4.793433771566566e10,218939.11874232447,1.0,1.0,1.0,1980.227659198638,1.954805577778701e8,0.004078090294300373,32.32469170902448,1.6536013645794848e-7,1.0,2.0594047736666306e-6,1.0
37.0,37.0,5.077097849188074e10,225324.16313365227,1.0,1.0,1.0,8613.148820004086,4.3569639870856804e8,0.008581603341705898,56.89257864734766,1.3057849184886746e-7,1.0,9.963375208117939e-7,1.0
38.0,38.0,5.077627290905543e10,225335.91127260524,1.0,1.0,1.0,2324.89845456258,2.7447354826708937e8,0.00540554744524867,8.770138010452008,3.1952579535885356e-8,1.0,2.325068191533424e-6,1.0
39.0,39.0,5.079814296345154e10,225384.4337203693,1.0,1.0,1.0,5232.15878989443,3.278504294764253e8,0.006453984698655143,34.65064290901818,1.0569039706994627e-7,1.0,1.2335223294676356e-6,1.0
40.0,40.0,5.205233616422629e10,228149.81079156365,1.0,1.0,1.0,1748.032200331685,2.5415122828027526e8,0.004882609511560007,15.169810746635553,5.968812603381576e-8,1.0,2.793203415036372e-6,1.0
41.0,41.0,5.355182574214336e10,231412.67411735113,1.0,1.0,1.0,876.2680446701681,1.9227722484240755e8,0.0035904886916507473,3.30188564888698,1.7172526031584034e-8,1.0,4.097477608010031e-6,1.0
42.0,42.0,5.3816786387981674e10,231984.45290144268,1.0,1.0,1.0,499.6781787677949,2.3506613398357186e8,0.004367896245003962,12.843745498284115,5.46388584207206e-8,1.0,8.741418838371495e-6,1.0
43.0,43.0,5.3973858452357254e10,232322.74630857233,1.0,1.0,1.0,962.5643757692086,2.602652662746731e8,0.004822061695674926,18.99168206223206,7.297047995453505e-8,1.0,5.0095991676624224e-6,1.0
44.0,44.0,5.401884999342004e10,232419.55596167038,1.0,1.0,1.0,698.6696891760691,2.7868362432539403e8,0.005159007042757215,6.294943794293006,2.2588136409232302e-8,1.0,7.3840430215902965e-6,1.0
45.0,45.0,5.738563907300641e10,239552.99846381886,1.0,1.0,1.0,2309.6380960584265,2.1830284183667707e8,0.0038041371596897774,19.607458424654084,8.981769656459326e-8,1.0,1.6470706671239218e-6,1.0
46.0,46.0,5.752809494869299e10,239850.15102912276,1.0,1.0,1.0,1844.1667833609656,2.777965834428554e8,0.004828885583790342,15.119590841464108,5.4426841347073054e-8,1.0,2.6184646786608813e-6,1.0
47.0,47.0,5.7916311959100746e10,240658.08101765614,1.0,1.0,1.0,14687.991525255353,5.052901835525993e8,0.008724488177679414,68.74299813196382,1.3604657357213009e-7,1.0,5.93987827585415e-7,1.0
48.0,48.0,5.83741216480532e10,241607.37084793832,1.0,1.0,1.0,887.5288076912846,2.0280677979645565e8,0.0034742582653159598,17.200257531044134,8.481105783695666e-8,1.0,3.914530137172106e-6,1.0
49.0,49.0,5.89851145368414e10,242868.51285591017,1.0,1.0,1.0,2532.9159968583826,3.179415731884535e8,0.005390200229834775,14.929530246048689,4.6956835098742884e-8,1.0,2.1280611897592847e-6,1.0
50.0,50.0,5.988683105590603e10,244717.86010813765,1.0,1.0,1.0,4451.301571914135,3.9311647931034803e8,0.006564322633987262,59.84901317839795,1.522424424699606e-7,1.0,1.474697350412161e-6,1.0
51.0,51.0,5.9892936148017876e10,244730.333526553,1.0,1.0,1.0,4020.9223058537923,3.6609805317527753e8,0.006112541512643543,23.814294860951097,6.504895152216092e-8,1.0,1.5201839398251248e-6,1.0
