mode_rank,eigen_index,vtk_w_field,omega_sq,omega,node_row,node_id,x,y,w_normalized
1,1,w1,1.0063156590427786e8,10031.528592606306,1,1,0.0,0.0,-1.3299132025023903e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,2,2,1.0,0.0,-3.097117490226743e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,3,3,1.0,1.0,-1.3299214756893597e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,4,4,0.0,1.0,-3.0971109575329925e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,5,5,0.24999999999941094,0.0,3.6596322924472257e-11
1,1,w1,1.0063156590427786e8,10031.528592606306,6,6,0.4999999999986921,0.0,2.6091558750753717e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,7,7,0.7499999999993406,0.0,2.9321117156404097e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,8,8,1.0,0.24999999999941094,2.932107810716112e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,9,9,1.0,0.4999999999986921,2.609166124699192e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,10,10,1.0,0.7499999999993406,3.6595943366069684e-11
1,1,w1,1.0063156590427786e8,10031.528592606306,11,11,0.7500000000003471,1.0,3.659487716629931e-11
1,1,w1,1.0063156590427786e8,10031.528592606306,12,12,0.5000000000020595,1.0,2.6091681536347174e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,13,13,0.2500000000010405,1.0,2.932093121311754e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,14,14,0.0,0.7500000000003471,2.9321060972948577e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,15,15,0.0,0.5000000000020595,2.609158455274275e-10
1,1,w1,1.0063156590427786e8,10031.528592606306,16,16,0.0,0.2500000000010405,3.6595337809960655e-11
1,1,w1,1.0063156590427786e8,10031.528592606306,17,17,0.24999999999981837,0.25000000000063316,0.423402015224085
1,1,w1,1.0063156590427786e8,10031.528592606306,18,18,0.2500000000002257,0.5000000000012177,0.7059611250550513
1,1,w1,1.0063156590427786e8,10031.528592606306,19,19,0.25000000000063316,0.7500000000000954,0.601079875423538
1,1,w1,1.0063156590427786e8,10031.528592606306,20,20,0.49999999999953393,0.2500000000002257,0.7059612227502652
1,1,w1,1.0063156590427786e8,10031.528592606306,21,21,0.5000000000003757,0.5000000000003757,1.0
1,1,w1,1.0063156590427786e8,10031.528592606306,22,22,0.5000000000012177,0.749999999999844,0.7059607672395879
1,1,w1,1.0063156590427786e8,10031.528592606306,23,23,0.7499999999995922,0.24999999999981837,0.6010798478805243
