mode_rank,eigen_index,vtk_w_field,omega_sq,omega,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,max_abs_w,normalized_max_abs_w,rebuild_error,relative_rebuild_error
1,1,w1,1.0063156590427786e8,10031.528592606306,true,true,10.582945223531338,2.0185777428593754,-3.097117490226743e-10,2,1.0,21,1.0,true,0.0,0.0
2,2,w2,6.158675909990252e8,24816.67969328341,true,true,15.314572999773514,2.1439682877633257,-1.0,25,0.9999973499524895,17,1.0,true,0.0,0.0
3,3,w3,7.669339797523023e8,27693.572896112597,true,true,13.190209171584593,1.7882176932535232,-1.0,19,0.9999991121640256,23,1.0,true,0.0,0.0
4,4,w4,1.5008774518002295e9,38741.159659982164,true,true,15.370736572344518,1.859439045873967,-1.0,17,0.8194802929770256,23,1.0,true,0.0,0.0
5,5,w5,3.195813783637609e9,56531.5291110864,true,true,13.445676655550237,1.9999996718655237,-0.9999999241386092,18,1.0,20,1.0,true,0.0,0.0
6,6,w6,3.248391693866268e9,56994.663731495675,true,true,10.68259994353353,1.5107806036853337,-0.6667995647716026,23,1.0,21,1.0,true,0.0,0.0
7,7,w7,3.7930968225423636e9,61588.122414491285,true,true,15.434330129840106,1.9368316745845302,-1.0,17,0.9999991683172232,25,1.0,true,0.0,0.0
8,8,w8,4.397855940628297e9,66316.33238221408,true,true,16.7232835470802,2.1441925758302363,-1.0,19,0.9999998847251347,23,1.0,true,0.0,0.0
9,9,w9,6.547592022463098e9,80917.19237877139,true,true,15.293957311812028,1.912005158868221,-0.6740297440362167,20,1.0,21,1.0,true,0.0,0.0
10,10,w10,3.84615384305177e10,196116.1350590963,true,true,1.1668795774146286e10,2.2983157182495595,-0.9793087667749077,14,1.0,10,1.0,true,0.0,0.0
11,11,w11,3.846153844109269e10,196116.13508605733,true,true,1.5445692925098219e10,2.336129626953474,-0.9852215051259638,16,1.0,8,1.0,true,0.0,0.0
12,12,w12,3.846153844817416e10,196116.1351041116,true,true,6.619472404515932e9,1.981393417050544,-0.5243136273605203,13,1.0,22,1.0,true,0.0,0.0
13,13,w13,3.9134271464975876e10,197823.83947587275,true,true,9742.092909844596,1.8164874561528483,-0.702903737670273,23,1.0,17,1.0,true,0.0,0.0
