index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,3.5971763518164724e7,0.0,19.819476724130705,1.0,1.0,1.0
2.0,2.0524601906000426e8,0.0,47.34222774791282,1.0,1.0,1.0
3.0,2.1663794797429556e8,0.0,48.63832225600825,1.0,1.0,1.0
4.0,4.9199957969668984e8,0.0,73.29826335110438,1.0,1.0,1.0
5.0,7.640429924184918e8,0.0,91.34193712205764,1.0,1.0,1.0
6.0,7.693605154559723e8,0.0,91.65924300788883,1.0,1.0,1.0
7.0,1.1443526055025775e9,0.0,111.78698695325923,1.0,1.0,1.0
8.0,1.2239271629195092e9,0.0,115.60832417728855,1.0,1.0,1.0
9.0,1.966516595022742e9,0.0,146.54132938406266,1.0,1.0,1.0
10.0,1.972852975567031e9,0.0,146.77722743393124,1.0,1.0,1.0
11.0,2.0354628094317775e9,0.0,149.08807423464498,1.0,1.0,1.0
12.0,2.5134679536954765e9,0.0,165.671572861353,1.0,1.0,1.0
13.0,2.551708193687079e9,0.0,166.92709029712015,1.0,1.0,1.0
14.0,3.4441925532524633e9,0.0,193.93448038323896,1.0,1.0,1.0
15.0,3.6953851969763803e9,0.0,200.8820707554113,1.0,1.0,1.0
16.0,4.07170201348717e9,0.0,210.8624812224306,1.0,1.0,1.0
17.0,4.077034430784516e9,0.0,211.00051181020132,1.0,1.0,1.0
18.0,4.739422707463135e9,0.0,227.49614494645272,1.0,1.0,1.0
19.0,4.771274410730599e9,0.0,228.259318682016,1.0,1.0,1.0
20.0,5.209332539351491e9,0.0,238.50767562013235,1.0,1.0,1.0
21.0,5.942297364682523e9,0.0,254.7349352215615,1.0,1.0,1.0
22.0,6.076022180190961e9,0.0,257.5852523101532,1.0,1.0,1.0
23.0,7.312100358717707e9,0.0,282.5741246420085,1.0,1.0,1.0
24.0,7.318738877517338e9,0.0,282.70236741578475,1.0,1.0,1.0
25.0,7.570075346124817e9,0.0,287.5156044107572,1.0,1.0,1.0
26.0,8.080874914994613e9,0.0,297.0574928725771,1.0,1.0,1.0
27.0,8.106101423354194e9,0.0,297.52080186606753,1.0,1.0,1.0
28.0,8.118855406976533e9,0.0,297.75476661874575,1.0,1.0,1.0
29.0,9.44029202955e9,0.0,321.0731831883285,1.0,1.0,1.0
30.0,9.530323104752277e9,0.0,322.6005708362818,1.0,1.0,1.0
31.0,1.0391033776770185e10,0.0,336.85321557368337,1.0,1.0,1.0
32.0,1.1456150712156439e10,0.0,353.69643167092926,1.0,1.0,1.0
33.0,1.175615358129095e10,0.0,358.29763759714797,1.0,1.0,1.0
34.0,1.1933395777628773e10,0.0,360.9884788905405,1.0,1.0,1.0
35.0,1.1962878752198803e10,0.0,361.4341378093814,1.0,1.0,1.0
36.0,1.2762557829537006e10,0.0,373.3190746513552,1.0,1.0,1.0
37.0,1.2784527159505507e10,0.0,373.640250216435,1.0,1.0,1.0
38.0,1.3861799016876305e10,0.0,389.06406318791414,1.0,1.0,1.0
39.0,1.424025030975256e10,0.0,394.33936321713804,1.0,1.0,1.0
40.0,1.430308175608392e10,0.0,395.20836627839293,1.0,1.0,1.0
41.0,1.4833203778075993e10,0.0,402.4656323918725,1.0,1.0,1.0
42.0,1.643866653631228e10,0.0,423.6864861858708,1.0,1.0,1.0
43.0,1.663276374363639e10,0.0,426.1804548316469,1.0,1.0,1.0
44.0,1.789195847451567e10,0.0,442.0183101882898,1.0,1.0,1.0
45.0,1.8141714443581215e10,0.0,445.09271138034467,1.0,1.0,1.0
46.0,1.8150251596009846e10,0.0,445.1974252266375,1.0,1.0,1.0
47.0,1.898830299724429e10,0.0,455.35949394945925,1.0,1.0,1.0
48.0,1.90295463507643e10,0.0,455.8537552223807,1.0,1.0,1.0
49.0,1.9422992302593254e10,0.0,460.54215436191976,1.0,1.0,1.0
50.0,2.0020756044477547e10,0.0,467.57529447747214,1.0,1.0,1.0
51.0,2.056593854556176e10,0.0,473.8987749694384,1.0,1.0,1.0
52.0,2.061580070799049e10,0.0,474.4729114831069,1.0,1.0,1.0
53.0,2.2633040887899933e10,0.0,497.14465349218756,1.0,1.0,1.0
54.0,2.287843673342585e10,0.0,499.8325010731198,1.0,1.0,1.0
55.0,2.2999638330677494e10,0.0,501.1547171991881,1.0,1.0,1.0
56.0,2.4116445743154114e10,0.0,513.177929684474,1.0,1.0,1.0
57.0,2.6022125820352097e10,0.0,533.0681138074616,1.0,1.0,1.0
58.0,2.6142668436864056e10,0.0,534.3013562874003,1.0,1.0,1.0
59.0,2.6158350643845543e10,0.0,534.4615879843876,1.0,1.0,1.0
60.0,2.6344973906593884e10,0.0,536.3647220502157,1.0,1.0,1.0
61.0,2.7068441672224533e10,0.0,543.6794855985389,1.0,1.0,1.0
62.0,2.7127794259807426e10,0.0,544.2752183565748,1.0,1.0,1.0
63.0,2.8009962112735912e10,0.0,553.0540536611916,1.0,1.0,1.0
64.0,2.8596377953064087e10,0.0,558.8134279412583,1.0,1.0,1.0
65.0,2.8687141052784992e10,0.0,559.6995446633954,1.0,1.0,1.0
66.0,3.0043799641486137e10,0.0,572.7811904078455,1.0,1.0,1.0
67.0,3.098857552994214e10,0.0,581.7174956858081,1.0,1.0,1.0
68.0,3.099695499390777e10,0.0,581.7961400125243,1.0,1.0,1.0
69.0,3.1073531216207115e10,0.0,582.514343927239,1.0,1.0,1.0
70.0,3.4185913488595486e10,0.0,610.9911417487676,1.0,1.0,1.0
71.0,3.4231106652434444e10,0.0,611.394868022773,1.0,1.0,1.0
72.0,3.4431988302995255e10,0.0,613.1861970631011,1.0,1.0,1.0
73.0,3.604599990968505e10,0.0,627.3932730064619,1.0,1.0,1.0
74.0,3.605883114107091e10,0.0,627.5049291125084,1.0,1.0,1.0
75.0,3.6213984531985466e10,0.0,628.8534893671826,1.0,1.0,1.0
76.0,3.688972020837548e10,0.0,634.6934257383325,1.0,1.0,1.0
77.0,3.7005982318225685e10,0.0,635.6927928764211,1.0,1.0,1.0
78.0,3.825983676222685e10,0.0,646.3725067200161,1.0,1.0,1.0
79.0,3.838162073462565e10,0.0,647.4004158340587,1.0,1.0,1.0
80.0,3.846153843787515e10,0.0,648.0740696414234,1.0,1.0,1.0
81.0,3.846153843863823e10,0.0,648.0740696478524,1.0,1.0,1.0
82.0,3.8461538439415634e10,0.0,648.074069654402,1.0,1.0,1.0
83.0,3.8705460065580185e10,0.0,650.1258523671671,1.0,1.0,1.0
84.0,3.906541854921968e10,0.0,653.1419222171235,1.0,1.0,1.0
