mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,node_row,x,y,w,phi_1,phi_2
1,1,w1,-Inf,0.0,1,0.0,0.0,-1.3587385935587383e-39,0.0003522423147028657,-0.006638694797628056
1,1,w1,-Inf,0.0,2,1.0,0.0,-2.942518219722927e-41,0.005690620572524926,-0.011977073055460169
1,1,w1,-Inf,0.0,3,1.0,1.0,5.2316000409265186e-42,-0.004823725888781489,0.004761347693877195
1,1,w1,-Inf,0.0,4,0.0,1.0,7.460739075297112e-42,0.999937621805095,-1.0
1,1,w1,-Inf,0.0,5,0.2499999999994109,0.0,1.3601136078397344e-39,0.0194975991490757,-0.025784051632003396
1,1,w1,-Inf,0.0,6,0.4999999999986921,0.0,-3.642233062883532e-40,0.0745396333609928,-0.080826085843923
1,1,w1,-Inf,0.0,7,0.7499999999993406,0.0,9.661089685410262e-41,0.22319678371599483,-0.22948323619892758
1,1,w1,-Inf,0.0,8,1.0,0.2499999999994109,1.4839454591609063e-40,-0.0006999094357719919,0.0003366102131350697
1,1,w1,-Inf,0.0,9,1.0,0.4999999999986921,-4.4987900383509085e-41,-0.0010101451563359648,0.0007979488474993257
1,1,w1,-Inf,0.0,10,1.0,0.7499999999993406,1.050077641236929e-41,-0.013847403427656864,0.013755705151434513
1,1,w1,-Inf,0.0,11,0.7500000000003471,1.0,-6.326090912102491e-42,0.12667482150764317,-0.1267371997025476
1,1,w1,-Inf,0.0,12,0.5000000000020595,1.0,1.029639006148296e-41,0.03196754704060297,-0.03202992523550759
1,1,w1,-Inf,0.0,13,0.2500000000010405,1.0,-8.723875593802866e-42,0.3666117533227433,-0.36667413151764805
1,1,w1,-Inf,0.0,14,0.0,0.7500000000003471,5.3620034353289634e-42,-0.0017528733226023544,0.0016611750463816038
1,1,w1,-Inf,0.0,15,0.0,0.5000000000020595,-6.053494898111662e-41,-0.0008473296097599179,0.0006351333009204462
1,1,w1,-Inf,0.0,16,0.0,0.2500000000010405,2.289918143845431e-40,-0.0015385644623526508,0.001175265239734234
1,1,w1,-Inf,0.0,17,0.2499999999998184,0.2500000000006332,2.1772611686451685e-21,-0.00019871411293040817,-0.00016458510969263407
1,1,w1,-Inf,0.0,18,0.2500000000002257,0.5000000000012177,-5.645352407819163e-22,-0.0003669683542253399,0.00015477204538657578
1,1,w1,-Inf,0.0,19,0.2500000000006332,0.7500000000000954,7.163655988958424e-23,-0.0009430531615019352,0.0008513548852807859
