mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,0.0,false,false,true,1.5555420968025608,2.7888707108081764e-21,-5.645352407819163e-22,18,2.1772611686451685e-21,17,1.098920410846858,1.1009473854590326,0.0,0.0
2,2,w2,-Inf,0.0,false,false,true,1.8521843380839753,2.374039958928445e-20,-1.671979271891118e-20,19,8.118736655446619e-21,17,1.1242080373832382,1.4719861109828796,0.0,0.0
3,3,w3,-Inf,0.0,false,false,true,2.1909467792854063,6.453857426539941e-19,-5.757686240006247e-19,17,1.0975097489293302e-19,18,1.5583396730439452,1.540073132379883,0.0,0.0
4,4,w4,-Inf,0.0,false,false,true,2.994468532544536,1.161330428358493e-17,-1.975870414499543e-18,19,8.786371941988625e-18,17,2.0326853472822686,2.1988706354270566,0.0,0.0
5,5,w5,-Inf,0.0,false,false,true,2.06976102280145,1.466355309631775e-18,-1.0177344953532999e-18,17,7.113332381885011e-19,19,1.4364789487402303,1.4901137276511032,0.0,0.0
6,6,w6,-Inf,0.0,false,false,true,2.7421000051252014,5.593638223059116e-18,-3.69304423637204e-18,17,1.2294541318948274e-18,19,1.835380145522396,2.0372756709708724,0.0,0.0
7,7,w7,-Inf,0.0,false,false,true,2.797896677196509,4.755966330674436e-18,-1.143739692064329e-18,17,2.779685253154092e-18,21,1.9085844493558453,2.045857085904172,0.0,0.0
8,8,w8,-Inf,0.0,false,false,true,2.387260970801401,8.491037715079507e-18,-4.4755285095655476e-18,19,5.944357634520777e-18,25,1.783895800162236,1.5864207250522107,0.0,0.0
9,9,w9,-Inf,0.0,false,false,true,2.266710515888754,3.058410242859083e-17,-1.765791185859693e-17,25,7.434999145299936e-18,19,1.645425036102443,1.55902309585456,0.0,0.0
10,10,w10,-Inf,0.0,false,false,true,2.246190144401834,3.4167288409074245e-17,-6.453067350440248e-19,19,1.9454769311884162e-17,17,1.3362597793468756,1.805486074969223,0.0,0.0
11,11,w11,-Inf,0.0,false,false,true,2.8076966128110032,3.226756591805096e-17,-1.589565986874299e-17,19,1.9547908911393656e-17,17,2.2375522957691008,1.6960306581217237,0.0,0.0
12,12,w12,-Inf,0.0,false,false,true,2.7441512986474894,6.452438421667198e-17,-3.716850858636568e-17,23,2.245040445585421e-17,25,2.1327124292517903,1.7268190536311643,0.0,0.0
