mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,0.0,false,false,true,1.414213562373095,1.72770546673157e-40,-8.691281777383577e-41,17,1.0656048345346442e-40,25,1.0,0.9999999999999998,0.0,0.0
2,2,w2,-Inf,0.0,false,false,true,1.9435437610614352,3.958339269395359e-22,-2.442085073729367e-22,25,1.9905541297173058e-22,17,1.3734625009328967,1.375122943482503,0.0,0.0
3,3,w3,-Inf,0.0,false,false,true,1.7990271279595424,9.887169562560757e-21,-4.6905464985324836e-21,17,6.3557831298424586e-21,25,1.1682415247781877,1.3681046549582,0.0,0.0
4,4,w4,-Inf,0.0,false,false,true,2.3152383696173278,3.6140281981796033e-19,-1.6395703174879406e-19,18,2.18490374184563e-19,25,1.5995215657637287,1.6738755834305756,0.0,0.0
5,5,w5,-Inf,0.0,false,false,true,2.431693195068347,4.94613639607167e-19,-2.280905192176657e-19,18,2.502790792672139e-19,20,1.5815433200686912,1.8471200615249153,0.0,0.0
6,6,w6,-Inf,0.0,false,false,true,2.513512795830768,1.917586313167506e-18,-1.1156962744930523e-19,21,1.206572942152911e-18,20,1.8534537604921935,1.697779647811326,0.0,0.0
7,7,w7,-Inf,0.0,false,false,true,1.9926987687922257,1.7540070915409946e-18,-1.1193218706889718e-18,24,8.952144034870885e-19,20,1.6245239155790818,1.1540235833195354,0.0,0.0
8,8,w8,-Inf,0.0,false,false,true,2.476735432759023,4.592544172784357e-18,-1.2655913199783632e-18,25,2.940992792413862e-18,17,1.9125129126107527,1.5736939864475437,0.0,0.0
9,9,w9,-Inf,0.0,false,false,true,2.864695228395514,3.765213214907006e-18,-1.4326286910593623e-18,24,1.888449089492014e-18,17,1.9723123102356308,2.0776099014215865,0.0,0.0
10,10,w10,-Inf,0.0,false,false,true,1.9318825382293068,3.600815362711446e-18,-2.021381600680301e-18,24,1.5313085997009655e-18,23,1.3740675247278844,1.357979594472426,0.0,0.0
11,11,w11,-Inf,0.0,false,false,true,2.614268926668746,3.054629339090367e-17,-1.0689777056177881e-17,18,1.5905859169055078e-17,23,2.0702359810455997,1.596410036215609,0.0,0.0
12,12,w12,-Inf,0.0,false,false,true,2.139683707441732,0.03737161259400744,-0.023959167746154267,17,0.0011784593810850678,19,1.5130813274429509,1.5124267344262319,0.0,0.0
13,13,w13,-Inf,0.0,false,false,true,2.6489007154985895,0.0003732052276701851,-0.00023926413747862453,17,1.1768483377820247e-5,19,2.0520749348751512,1.6750114396456948,0.0,0.0
14,14,w14,-Inf,0.0,false,false,true,2.5157538656290113,0.06124431730605491,-0.04005419136668168,17,0.0028637172372638093,19,1.8305400354863843,1.7246419409565958,0.0,0.0
15,15,w15,-Inf,0.0,false,false,true,3.117991029216937,0.0555002835270344,-0.0032158010847277343,19,0.03488952666097204,17,2.1623993568965387,2.245621695232558,0.0,0.0
16,16,w16,-Inf,0.0,false,false,true,3.0246491866370806,0.04778731354757628,-0.017268880466758767,24,0.030902136746310253,20,2.167492343227534,2.1090746826365043,0.0,0.0
17,17,w17,-Inf,0.0,false,false,true,2.2680929877489064,0.03047408761177388,-0.019206112169798274,20,0.006250137869993514,25,1.7573598658584229,1.4335283160545027,0.0,0.0
18,18,w18,-Inf,0.0,false,false,true,3.576261459584479,0.28640304001289724,-0.03067007799159364,19,0.19687229249093685,20,2.4603735967254265,2.579569942939534,0.0,0.0
19,19,w19,-Inf,0.0,false,false,true,3.0993949450901512,0.03620344378058331,-0.02614091152493311,25,0.017748179964452482,17,2.3057252573915017,2.070886132489109,0.0,0.0
20,20,w20,-Inf,0.0,false,false,true,3.2134274489170345,0.15139986929619567,-0.04913671741438133,22,0.09089682770981776,21,2.2842823584633893,2.255049479688521,0.0,0.0
21,21,w21,-Inf,0.0,false,false,true,2.7392297896313864,0.12007570700774792,-0.09380990644764053,23,0.04139761911411997,25,1.9390531799888986,1.93107079884854,0.0,0.0
22,22,w22,-Inf,0.0,false,false,true,2.023396702263325,0.41769391056450195,-0.051245201302499516,19,0.2430661375058735,20,1.359108338595355,1.4396147178214056,0.0,0.0
23,23,w23,-Inf,0.0,false,false,true,2.9441508942978443,1.0668980639915169,-0.13791656354158188,19,0.5976517106490117,20,1.8533480359138605,2.0235745766391178,0.0,0.0
24,24,w24,-Inf,0.0,false,false,true,2.307069628999249,1.7596159376342657,-1.0,20,0.22141693698255557,19,1.168065660150507,0.9284097364048784,0.0,0.0
25,25,w25,-Inf,0.0,false,false,true,2.7633161333585003,0.8821951006098696,-0.24297169359268184,18,0.4753486065079208,23,1.8870034133524223,1.8157273956559734,0.0,0.0
26,26,w26,-Inf,0.0,false,false,true,2.7277305035753803,0.6019242122385545,-0.31333493207635915,23,0.11644662910969851,18,1.8505905218802379,1.911417187111077,0.0,0.0
27,27,w27,-Inf,0.0,false,false,true,2.7959662477449454,0.8429343486639337,-0.2877994588862509,24,0.4110805974533102,25,1.8687941293617711,1.9011831696168675,0.0,0.0
28,28,w28,-Inf,0.0,false,false,true,1.767225018018365,1.728007653442898,-1.0,23,0.8485757075925381,25,0.28322531916792903,0.2384475467162635,0.0,0.0
29,29,w29,-Inf,0.0,false,false,true,1.4841764261599226,1.4571286416036904,-0.717803249675773,17,1.0,18,0.20503643563410645,0.19369007679663103,0.0,0.0
30,30,w30,-Inf,0.0,false,false,true,1.8717236909981927,1.8051412458619303,-0.5402458818016846,20,1.0,22,0.39372417246938574,0.2996596968983867,0.0,0.0
31,31,w31,0.9999999999999997,0.0,true,true,true,5.342178073143183,1.857642858235892,-0.6418915978406554,4,0.41745145678128315,2,4.999998850755652,0.2967171529574181,0.0,0.0
32,32,w32,1.0000000000000009,0.0,true,true,true,5.581813749903941,2.3877747234369786,-0.8849306690788841,1,0.2500044544777644,3,0.6746747063140133,4.999999064939138,0.0,0.0
33,33,w33,1.0000000000000009,0.0,true,true,true,4.293538761294625,3.2260738786875094,0.22664993762185123,1,1.0,3,1.4084738132963228,2.4582766201646282,0.0,0.0
34,34,w34,1.000000006789041,0.0,true,true,true,4.991943152780162,2.555284310721577,-1.0,2,0.9970973373254682,1,3.0323273477615644,3.0323273879952706,0.0,0.0
35,35,w35,1.0000000155086266,0.0,true,true,true,4.907307432275531,1.8324971772907122,-0.6752592930117166,6,0.6752593310249029,9,3.218976588606586,3.2189765535168084,0.0,0.0
36,36,w36,1.000000024486273,0.0,true,true,true,4.170720217109652,1.8303921256561588,-0.78809795942767,2,0.7017130895931694,4,2.6499596355612645,2.649959570566902,0.0,0.0
37,37,w37,1.0000000249082737,0.0,true,true,true,3.917460456758835,1.861878441089595,-0.761064486758476,1,0.7610644831075944,3,2.4372018604033365,2.437201713548026,0.0,0.0
38,38,w38,1.0000000308128068,0.0,true,true,true,4.3202254608686665,2.776655804099234,-1.0,4,0.7570237478005455,15,2.340355772939984,2.340355834988861,0.0,0.0
39,39,w39,1.0000000509736935,0.0,true,true,true,4.439491875196822,1.43676585317286,-0.5167790075256955,5,0.5167790231231347,10,2.9702519440680946,2.9702517371183816,0.0,0.0
40,40,w40,1.0000000684856472,0.0,true,true,true,3.8155219479385267,2.5157136568995795,-0.8696119971718494,1,0.8696118912954731,3,2.0284747239386913,2.0284680983519072,0.0,0.0
41,41,w41,1.0000000685744501,0.0,true,true,true,3.953532121520532,2.464685024159284,-0.8433222169314649,4,0.8642801298365879,2,2.1858240604999186,2.18584472095326,0.0,0.0
42,42,w42,1.0000000895888155,0.0,true,true,true,3.521540850841008,3.1258754358892404,-0.995528907377902,1,1.0,4,1.1467676659318213,1.1467679119244423,0.0,0.0
43,43,w43,1.0000001176049205,0.0,true,true,true,3.768074001679852,2.9012180224706166,-1.0,6,0.9999999676416659,9,1.7001936659916728,1.700193273233692,0.0,0.0
