mode_rank,eigen_index,lambda_real,lambda_imag,lambda_isfinite,lambda_isinf,lambda_isnan,vector_isfinite,norm_v,norm_Kv,norm_KGv,residual_norm,relative_residual,KGv_over_v,selected_positive_mode
1.0,1.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.414213562373095,1.371700740413651e10,1.3932118344853168e-17,NaN,NaN,9.851495357939174e-18,0.0
2.0,2.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.3149454746442224,3.5499255734914988e16,8.618252957643576e-17,NaN,NaN,3.722875139842372e-17,0.0
3.0,3.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.5958846617532136,2.8132817953717347e17,9.334818430114802e-17,NaN,NaN,5.849306440391324e-17,0.0
4.0,4.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.3587287924420446,3.676905359641441e17,2.4629308045761357e-16,NaN,NaN,1.0441771908953587e-16,0.0
5.0,5.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.5618458150773096,9.715373677643099e17,2.9069189743052374e-16,NaN,NaN,1.134697083328379e-16,0.0
6.0,6.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.9552655745746828,1.2351787553323607e18,5.425938921898301e-16,NaN,NaN,2.7750393565224884e-16,0.0
7.0,7.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2538913541270267,2.431056024133371e18,7.2313989759853e-16,NaN,NaN,2.2223848890386147e-16,0.0
8.0,8.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.48237142025119,4.013380837813645e18,1.6578898937895401e-15,NaN,NaN,6.678653646527154e-16,0.0
9.0,9.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2454330659915622,5.308889633557683e18,1.990782880263515e-15,NaN,NaN,6.134105494655396e-16,0.0
10.0,10.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.2435446708206337,4.008354085814805e18,2.3303449690592303e-15,NaN,NaN,7.184562586799956e-16,0.0
11.0,11.0,-Inf,0.0,0.0,1.0,0.0,1.0,1.9601047713905113,1.5550272028259512e18,1.6441757789229378e-15,NaN,NaN,8.388203543612358e-16,0.0
12.0,12.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.0005863558472377,2.870107835665445e18,2.1159357498424682e-15,NaN,NaN,7.051740889640279e-16,0.0
13.0,13.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.3708070092251843,3.0878283219216763e18,1.9087057528783903e-15,NaN,NaN,8.050869368326122e-16,0.0
14.0,14.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.741096322641623,5.378369374455583e18,2.0427803142853334e-15,NaN,NaN,7.452420761035807e-16,0.0
15.0,15.0,-Inf,0.0,0.0,1.0,0.0,1.0,3.209347282309669,3.2871815765158067e18,1.4884330404347032e-15,NaN,NaN,4.637806100446454e-16,0.0
16.0,16.0,-Inf,0.0,0.0,1.0,0.0,1.0,2.5005251855337454,2.6365996054907827e18,1.211887639462841e-15,NaN,NaN,4.846532426363703e-16,0.0
17.0,17.0,5.239605689428351e10,0.0,1.0,0.0,0.0,1.0,2.1165474871004784,2.121002734104758e10,0.40480198344357465,2943.384197256497,1.3877323647080977e-7,0.1912558002646683,1.0
