mode_rank,eigen_index,vtk_w_field,lambda_real,lambda_imag,lambda_isfinite,selected_positive_mode,vector_isfinite,vector_norm,w_norm,w_min,w_min_node,w_max,w_max_node,phi_1_norm,phi_2_norm,rebuild_error,relative_rebuild_error
1,1,w1,-Inf,0.0,false,false,true,1.414213562373095,2.1336099194449465e-20,-8.507296681598718e-21,4,5.889553811261569e-22,1,1.0,0.9999999999999998,0.0,0.0
2,2,w2,-Inf,0.0,false,false,true,2.3149454746442224,0.011894120930521038,0.0002217807323337561,14,0.004799886788016856,9,1.6858685988391484,1.5864041565474993,0.0,0.0
3,3,w3,-Inf,0.0,false,false,true,1.5958846617532136,0.06561721155094298,-0.0007012334680645972,14,0.022727325316697796,2,0.9451676443483388,1.2842119604039124,0.0,0.0
4,4,w4,-Inf,0.0,false,false,true,2.3587287924420446,0.14395490930599256,-0.015925494541975605,14,0.054797933496135605,16,1.5804211295487443,1.7450351153079071,0.0,0.0
5,5,w5,-Inf,0.0,false,false,true,2.5618458150773096,0.21860499580033277,-0.0832063797923301,2,0.01807994718595323,12,1.7304643740908947,1.876368536839837,0.0,0.0
6,6,w6,-Inf,0.0,false,false,true,1.9552655745746828,0.3507356904153086,-0.11246437626983384,2,0.0776322463712459,16,1.4548398494397732,1.2583675754992334,0.0,0.0
7,7,w7,-Inf,0.0,false,false,true,3.2538913541270267,0.599369015493875,-0.1693478422935153,3,0.10361094691630776,16,2.229249381307516,2.29325378527292,0.0,0.0
8,8,w8,-Inf,0.0,false,false,true,2.48237142025119,0.9636516880974817,-0.21708255320422748,15,0.34556292214677364,1,1.6363382213842357,1.5987309083594583,0.0,0.0
9,9,w9,-Inf,0.0,false,false,true,3.2454330659915622,1.334208236311659,-0.05463775005379482,16,0.4210183295876939,2,1.9770793207477215,2.2008819885357895,0.0,0.0
10,10,w10,-Inf,0.0,false,false,true,3.2435446708206337,1.3917986963968967,-0.3103203321962869,15,0.33288349471504336,8,2.410274425770812,1.6655496428482743,0.0,0.0
11,11,w11,-Inf,0.0,false,false,true,1.9601047713905113,0.7095305325173035,-0.03347743678212463,14,0.31063073390636764,9,1.4522523331634623,1.108846382090342,0.0,0.0
12,12,w12,-Inf,0.0,false,false,true,3.0005863558472377,0.9802807139567131,-0.1739491611769837,12,0.3691114315387272,16,2.125588684650044,1.8773494465412714,0.0,0.0
13,13,w13,-Inf,0.0,false,false,true,2.3708070092251843,1.0095057437672972,-0.3858475163165904,10,-0.0002854704607598954,13,1.6838492575737833,1.329013057144405,0.0,0.0
14,14,w14,-Inf,0.0,false,false,true,2.741096322641623,1.3576203449339106,-0.19176090020389974,3,0.3980449456995998,2,1.409444118415039,1.9193601345464615,0.0,0.0
15,15,w15,-Inf,0.0,false,false,true,3.209347282309669,1.295527418714106,-0.22995197004026594,15,0.4825702520964143,8,2.2590943053807444,1.875636320085724,0.0,0.0
16,16,w16,-Inf,0.0,false,false,true,2.5005251855337454,0.7925566491479704,-0.02885650389332316,15,0.281985979765081,8,1.8033073093202532,1.5403126012378334,0.0,0.0
17,17,w17,5.239605689428351e10,0.0,true,true,true,2.1165474871004784,0.01833475236976023,-0.013938045410820353,19,0.003962343633277358,20,1.1487254799986077,1.777601438345744,0.0,0.0
18,18,w18,5.871979647206494e10,0.0,true,true,true,2.5923215713288115,0.05887733043785734,-0.03767622248788713,23,0.012388548083290391,22,1.3227627164987745,2.22866852290285,0.0,0.0
19,19,w19,6.36419247731434e10,0.0,true,true,true,3.2906654690534234,0.11441733296484863,-0.05712123293203848,18,0.0496797911631681,24,1.5041221443980506,2.924552013192655,0.0,0.0
20,20,w20,7.96080882226092e10,0.0,true,true,true,2.141867930272396,0.05162154075289296,-0.029464115318654747,18,0.014734966976586338,21,1.0703249142750906,1.8545452340511062,0.0,0.0
21,21,w21,8.31761595681293e10,0.0,true,true,true,2.437155565102397,0.09760322482264401,-0.05173240108160921,23,0.0378222518296952,18,1.2612841411914562,2.0831138169079324,0.0,0.0
22,22,w22,9.264845646142416e10,0.0,true,true,true,2.8605100010180573,0.16165614061414074,-0.012241722311751687,20,0.08071133406566465,24,1.4723363657192132,2.447163742847382,0.0,0.0
23,23,w23,1.016154009417811e11,0.0,true,true,true,3.776437373613653,0.521569620971306,-0.30273773894813544,21,4.124202208932885e-9,14,2.360271256430696,2.9014761697061893,0.0,0.0
24,24,w24,1.1873498888603758e11,0.0,true,true,true,3.5252977312819462,1.790978173389306,-0.9052229270963164,24,0.6846719219560893,21,1.5208656360916324,2.6281341277758896,0.0,0.0
25,25,w25,1.2009098142986394e11,0.0,true,true,true,2.7159449043235964,1.0437047859684268,-0.44528447958785566,24,0.5893631876959973,18,1.4373204330743228,2.0545430187112053,0.0,0.0
26,26,w26,1.4020833055383203e11,0.0,true,true,true,3.4549999746882336,0.4589188953161478,-0.20731020825840152,17,0.24115888878492694,20,1.9429352353970712,2.819826403108892,0.0,0.0
27,27,w27,1.5030993008566638e11,0.0,true,true,true,3.234030767098193,0.43212967098338234,-0.28086391654369197,23,0.014954264030040222,25,1.8946887339861145,2.585028733167122,0.0,0.0
28,28,w28,1.5785175183623108e11,0.0,true,true,true,2.6950757364954634,0.6532870375049666,-0.34796355975503673,22,0.2994146453814894,20,1.6137848949217006,2.0572670184001653,0.0,0.0
29,29,w29,1.7400191990956085e11,0.0,true,true,true,2.6724251481189105,0.7899124340963792,-5.651788629602747e-9,9,0.3987344813209498,21,1.3027033020895902,2.195645377897622,0.0,0.0
30,30,w30,1.766366189032268e11,0.0,true,true,true,2.7444670351581912,0.6152681687711086,-4.790828324324476e-9,15,0.30387700403955964,21,1.4327725146216177,2.2584745535232154,0.0,0.0
31,31,w31,1.938866257006486e11,0.0,true,true,true,3.3263172187206957,1.357091476560288,-0.3497048174318865,18,0.7116177870958887,23,1.974441230512141,2.3074381445791574,0.0,0.0
32,32,w32,1.9591074652442084e11,0.0,true,true,true,2.563602497813224,1.2046259709791256,-0.4284275551247417,23,0.6873892762991379,25,1.4361546143631159,1.7488264523617914,0.0,0.0
33,33,w33,2.0629395225789453e11,0.0,true,true,true,2.8235531725770433,0.6610064409308092,-0.19522280716262524,24,0.3945057049429897,21,1.775006924882628,2.094008935042205,0.0,0.0
34,34,w34,2.1237818494885706e11,0.0,true,true,true,3.5637140559178353,0.20529560129404062,-0.1258517087014415,22,0.06834434183101704,20,2.5030789091409384,2.5283408716091818,0.0,0.0
35,35,w35,2.2331400957902728e11,0.0,true,true,true,4.006824158966801,0.2664641941424924,-0.20203956016439722,19,0.15114917922043558,23,2.8584075749182536,2.7951999588168928,0.0,0.0
36,36,w36,2.2618017080505627e11,0.0,true,true,true,2.5328320833762152,0.20547344205487905,-0.11161438863051072,23,0.15778537224354783,19,1.8280502953790057,1.7410488634023884,0.0,0.0
37,37,w37,2.3884125364665497e11,0.0,true,true,true,3.119985524964965,0.19100379613112858,-0.09549813320546709,25,0.07753284001245905,24,2.3606702717456685,2.031025133756508,0.0,0.0
38,38,w38,2.6497752200644577e11,0.0,true,true,true,2.6915168445338176,0.94724115931065,-0.5078522405423262,24,0.4891978689215772,18,1.9283305872772243,1.6212767366147487,0.0,0.0
39,39,w39,2.6873197377058243e11,0.0,true,true,true,2.9003498020414256,0.2379546345977703,-0.1018231135865,19,0.1511264341154302,18,2.3375265117937203,1.7004047673235518,0.0,0.0
40,40,w40,3.0497024583694824e11,0.0,true,true,true,3.191620858135697,0.45652992945497717,-0.2286206053925297,24,0.1990159096013077,18,2.73252745118521,1.5847138082688417,0.0,0.0
41,41,w41,3.9293125862200006e11,0.0,true,true,true,3.0725744912198776,0.19617538570286944,-0.04385602630672674,25,0.12915415768158642,20,2.69706904321416,1.4587829853255334,0.0,0.0
42,42,w42,4.1977269005103827e11,0.0,true,true,true,2.732536277189282,1.3810990662804368,-0.7123509072949423,22,0.6724121053669815,20,1.4967648378785687,1.821816372570272,0.0,0.0
43,43,w43,5.459664629208823e11,0.0,true,true,true,2.2793482810586108,0.15622619483970446,-0.061818067303101965,22,0.08898610037773762,20,2.113612998981211,0.8388456669426161,0.0,0.0
44,44,w44,5.855683680171068e11,0.0,true,true,true,2.4973964712572743,0.23992239388143144,-0.09247200522119364,22,0.12549832278901193,21,2.2814178621826438,0.9871975069237479,0.0,0.0
45,45,w45,6.961425695663271e11,0.0,true,true,true,3.513121839464976,1.993071744823692,-1.0,21,0.7035810382866872,20,2.6768210423420076,1.097414773996718,0.0,0.0
46,46,w46,1.0357241271011807e18,0.0,true,true,true,2.7530709826934285,2.422518099772342,-1.0,6,0.850213638340622,5,0.9472234603547222,0.9019831529344576,0.0,0.0
47,47,w47,1.0380192376682296e18,0.0,true,true,true,2.7819973376996225,2.403701017040962,-1.0,12,0.9999998095556828,6,0.8733550961451022,1.0949801293545978,0.0,0.0
