mode_rank,eigen_index,omega_sq_real,omega_real,Omega_FEM,Omega_exact,matched_m,matched_n,W_energy_pct,Phi1_energy_pct,Phi2_energy_pct,relative_residual
1,1,3.457068e+01,5.879684e+00,19.4297,19.7392,1,1,99.9998,0.0001,0.0001,3.46e-05
2,2,2.159350e+02,1.469473e+01,48.5593,49.3480,1,2,99.9996,0.0002,0.0002,1.36e-05
3,3,2.188381e+02,1.479318e+01,48.8847,49.3480,1,2,99.9996,0.0002,0.0002,8.49e-06
4,4,5.425120e+02,2.329189e+01,76.9690,78.9568,2,2,99.9994,0.0003,0.0003,2.26e-06
5,5,8.752382e+02,2.958442e+01,97.7630,98.6960,1,3,99.9992,0.0004,0.0004,1.95e-06
6,6,8.768176e+02,2.961111e+01,97.8512,98.6960,1,3,99.9992,0.0004,0.0004,1.17e-06
7,7,1.397857e+03,3.738792e+01,123.5500,128.3049,2,3,99.9990,0.0005,0.0005,1.14e-06
8,8,1.446970e+03,3.803906e+01,125.7017,128.3049,2,3,99.9990,0.0005,0.0005,7.18e-07
9,9,2.538842e+03,5.038693e+01,166.5057,167.7833,1,4,99.9986,0.0007,0.0007,6.12e-07
10,10,2.545619e+03,5.045413e+01,166.7278,167.7833,1,4,99.9986,0.0007,0.0007,7.56e-07
11,11,2.629796e+03,5.128154e+01,169.4620,167.7833,1,4,99.9986,0.0007,0.0007,6.25e-07
12,12,3.359703e+03,5.796295e+01,191.5410,197.3921,2,4,99.9984,0.0008,0.0008,5.36e-07
13,13,3.384429e+03,5.817585e+01,192.2446,197.3921,2,4,99.9984,0.0008,0.0008,3.39e-07
14,14,4.834682e+03,6.953188e+01,229.7710,246.7401,3,4,99.9982,0.0009,0.0009,3.30e-07
15,15,5.163394e+03,7.185676e+01,237.4537,246.7401,3,4,99.9981,0.0010,0.0010,1.97e-07
16,16,5.613455e+03,7.492299e+01,247.5862,246.7401,3,4,99.9997,0.0001,0.0001,5.20e-07
17,17,5.614954e+03,7.493300e+01,247.6193,246.7401,3,4,99.9997,0.0001,0.0001,4.87e-07
18,18,5.936282e+03,7.704727e+01,254.6060,256.6097,1,5,99.9979,0.0010,0.0010,2.70e-07
19,19,5.942842e+03,7.708983e+01,254.7466,256.6097,1,5,99.9979,0.0010,0.0010,2.17e-07
20,20,7.009069e+03,8.372018e+01,276.6569,286.2185,2,5,99.9978,0.0011,0.0011,3.95e-07
21,21,7.082655e+03,8.415851e+01,278.1054,286.2185,2,5,99.9977,0.0011,0.0011,1.71e-07
22,22,7.661119e+03,8.752782e+01,289.2394,286.2185,2,5,99.9978,0.0011,0.0011,2.02e-07
23,23,8.190766e+03,9.050285e+01,299.0705,286.2185,2,5,99.9996,0.0002,0.0002,3.15e-07
24,24,8.195653e+03,9.052984e+01,299.1597,286.2185,2,5,99.9996,0.0002,0.0002,2.92e-07
25,25,9.042537e+03,9.509225e+01,314.2364,315.8273,4,4,99.9975,0.0012,0.0012,1.73e-07
26,26,9.334255e+03,9.661395e+01,319.2649,315.8273,4,4,99.9974,0.0013,0.0013,1.26e-07
27,27,9.612353e+03,9.804261e+01,323.9859,315.8273,4,4,99.9994,0.0003,0.0003,2.55e-07
28,28,9.616617e+03,9.806435e+01,324.0578,315.8273,4,4,99.9995,0.0002,0.0002,2.53e-07
