index,omega_sq_real,omega_sq_imag,Omega,is_finite,is_positive,is_real_mode
1.0,5.124071789572078e6,0.0,74.80298385901935,1.0,1.0,1.0
2.0,2.390709072615785e7,0.0,161.57519324749197,1.0,1.0,1.0
3.0,3.7057606219994925e7,0.0,201.16387844798192,1.0,1.0,1.0
4.0,6.6593507617094e7,0.0,269.6666651958796,1.0,1.0,1.0
5.0,1.1534461532488847e8,0.0,354.9032543310616,1.0,1.0,1.0
6.0,1.3902792791717407e8,0.0,389.6389319428361,1.0,1.0,1.0
7.0,1.5190591524346775e8,0.0,407.2852310676963,1.0,1.0,1.0
8.0,2.379949560576025e8,0.0,509.7945586360273,1.0,1.0,1.0
9.0,3.022143563228527e8,0.0,574.4719985382709,1.0,1.0,1.0
10.0,3.533522881557794e8,0.0,621.1768658491003,1.0,1.0,1.0
11.0,3.8748431744375765e8,0.0,650.4866444813324,1.0,1.0,1.0
12.0,4.6120290488088137e8,0.0,709.671453652972,1.0,1.0,1.0
13.0,5.483040134369829e8,0.0,773.7880734885911,1.0,1.0,1.0
14.0,5.983008604450057e8,0.0,808.2973089191538,1.0,1.0,1.0
15.0,8.043369322382721e8,0.0,937.195779975664,1.0,1.0,1.0
16.0,8.732701417292813e8,0.0,976.5300787832267,1.0,1.0,1.0
17.0,8.867696004861996e8,0.0,984.0489844163907,1.0,1.0,1.0
18.0,9.469101558096952e8,0.0,1016.8706358943535,1.0,1.0,1.0
19.0,1.0654726765725789e9,0.0,1078.6547931647344,1.0,1.0,1.0
20.0,1.2689763945768125e9,0.0,1177.1670327009158,1.0,1.0,1.0
21.0,1.3272600653003895e9,0.0,1203.8970019515893,1.0,1.0,1.0
22.0,1.4789535763822377e9,0.0,1270.8333114179072,1.0,1.0,1.0
23.0,1.6863271385753064e9,0.0,1357.0074558838041,1.0,1.0,1.0
24.0,1.881345779405179e9,0.0,1433.3281519283905,1.0,1.0,1.0
25.0,1.8851396264166076e9,0.0,1434.7726203294148,1.0,1.0,1.0
26.0,2.0989157901648793e9,0.0,1513.94056780973,1.0,1.0,1.0
27.0,2.186860817407998e9,0.0,1545.3323307979854,1.0,1.0,1.0
28.0,2.2420752106778293e9,0.0,1564.7191856880227,1.0,1.0,1.0
